白芥子,紫菀,百部,剖麦冬,东白薇,苏子
贝母,桔梗,瓜蒌仁,陈皮,黄芩,茯苓
半夏,干姜,陈皮,苍术,茯苓,神曲
半夏,陈皮,苍术,茯苓,白芍,神曲
贝母,海石,胆南星,陈皮,木通
半夏,良姜,乌梅,青皮,草果,厚朴
杏仁,葶苈,地龙,牛蒡,石膏,麻黄
贝母,桔梗,黄柏,花粉,前胡,黄芩
贝母,天竺黄,紫菀,鱼腥草,杏仁,板蓝根
贝母,鱼腥草,杏仁,桔梗,败酱草,白术
昆布,海粉,牙皂,当归,芦荟,青皮
贝母,海藻,僵蚕,柴胡,夏枯草,当归
半夏,白芥子,柴胡,桔梗,蝉衣,当归
檀香,羌活,薄荷,石膏,细辛,荆芥
檀香,四,二,一了,薄荷,羌活
檀香,羌活,薄荷,石膏,细辛,荆芥
半夏,瓜蒌仁,苍术,黄芩,黄连,香附
贝母,半夏,天南星,白芥子,玄明粉,白术
半夏,天南星,杏仁,陈皮,黄芩,瓜蒌仁霜
半夏,莱菔,天南星,海粉,麦芽,牙皂
半夏,天南星,杏仁,瓜蒌仁,陈皮,黄芩
贝母,贝母,紫菀,蛤壳,杏仁,草河车
半夏,五味子,射干,麻黄,石膏,细辛
贝母,半夏,杏仁,桔梗,瓜蒌仁,地黄
半夏,昆布,海藻,白芥子,玄明粉,陈皮
贝母,杵头糠,砂仁壳,荷叶蒂,郁金,茯苓
全虫,炙穿山甲,僵蚕,蜈蚣,蝉衣,夜明砂
贝母,桔梗,陈皮,地黄,花粉,茯苓
五倍子,诃子,五味子,甘草
百药煎,桔梗,粉草,紫河车,香附
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,黄连,白矾
半夏,天南星,干姜,天麻,川乌,防风
半夏,天南星,干姜,天麻,川乌,防风
天竺黄,党参,None,None,15克,24克
天南星,黑附子,乌头,木香
天南星,辰砂,白附子,蛇含,麝香
蛇胆汁,陈皮
半夏,柴胡,当归,茱萸,黑附子,茯苓
竹茹,桔梗,陈皮,苏子,甘草
文蛤,红芽大戟,续随子,山慈菇,麝香
远志,金箔,菖蒲,铁粉,丹砂,茯苓
贝母,半夏,杏仁,桔梗,陈皮,干葛
半夏,柴胡,白术,茯苓,白芍,肉桂
贝母,胆南星,远志,天冬,辰砂,元参
半夏,陈皮,茯苓,生姜,甘草
香墨,铅霜,黄明胶,百草霜,青黛,干蝎
贝母,半夏,杏仁,苏子,黄芩,山栀
半夏,僵蚕,槐角子,辰砂,天麻,陈皮
天南星,朱砂,琥珀
胆南星,远志,朱砂,当归,白术,陈皮
半夏,芍药,远志,玫瑰花,厚朴花,佛手花
昆布,海藻,海带,海蛤粉,陈皮,螵蛸
半夏,肉豆蔻,厚朴,山药
半夏,陈皮,吴萸,桃仁,黄连
半夏,白术,陈皮,茯苓,草果,乌梅肉
半夏,紫苏,茯苓,厚朴
半夏,昆布,升麻,桔梗,连翘,黄芩
檀香,降香,苏合香,僵蚕,朱砂,诃子
檀香,降香,苏合香,僵蚕,朱砂,诃子
杏仁,麦蘖,神僸,萝卜子,青皮,三棱
莱菔,白芥子,山楂
半夏,天南星,金箔,朱砂,白僵蚕,全蝎
银箔,远志,金箔,升麻,白僵蚕,铁粉
半夏,诃子,丁香,干姜,草豆蔻,生姜
贝母,半夏,天南星,海藻,桔梗,当归
半夏,桔梗,陈皮,前胡,苏叶,麻黄
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,薤白,麦芽,陈皮,全瓜蒌,厚朴
贝母,莱菔,杏仁,葶苈,陈皮,苏子
杏仁,葶苈,黑牵牛,麻黄,防己
海石,胆南星,抚芎,栝楼,苍术,青黛
莱菔,杏仁,僵蛹,夏枯草,连翘,薄荷
贝母,海藻,乳香,蓖麻子肉,生明矾,没药
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂
贝母,杏仁,款冬花,桔梗,当归,地黄
文蛤,红芽大戟,朱砂,山茨菇,千金子,雄黄
半夏,白术,天麻,老生姜,茯苓,甘草
远志,百部,桔梗,当归,菖蒲,地黄
天南星
鸡血藤,地龙,蜈蚣,当归,羌活,赤芍
瓜瓣,苇茎,薏仁,桃仁
半夏,竹茹,陈皮,茯苓,枳壳,甘草
半夏,竹茹,陈皮,枳实,生姜,甘草
半夏,桂心,远志,黄芩,萆薢,茯苓
半夏,白术,干姜,陈皮
半夏,芍药,桔梗,二十,当归,十
半夏,芍药,桔梗,干姜,陈皮,苍术
牛乳60毫升,梨汁10毫升,生姜汁,藕汁,韭汁
半夏,白术,陈皮2,茯苓,砂仁,木香
半夏,党参,白术,西砂仁,炒广皮,茯苓
半夏,栝楼,小枳实,小川连,生川军,皮硝
贝母,半夏,天南星,柴胡,当归,白术
半夏,天南星,黄柏,苍术,黄芩,辛夷
贝母,杏仁,桔梗,麦冬,灯心100厘米,淡竹叶
淡竹沥60毫升,生姜汁2滴,生赤芍,犀角汁20毫升,青连翘,丹皮
半夏,麦芽,陈皮,苍术,山植,茯苓
蝉壳,白僵蚕,陈皮,羌活,厚朴,川芎
半夏,杏仁,桔梗,陈皮,干葛,前胡
海藻,昆布,白芥子,山茨菇,桔梗,夏枯草
半夏,昆布,海藻,通草,海蛤粉,松萝
贝母,半夏,昆布,海藻,柴胡,夏枯草
昆布,海藻,夏枯草,炒山甲,牡蛎,莪术
昆布,海藻,海带,海红蛤,海马,石燕
海藻,海带,桔梗,海昆布,猪琰子,海蛤
半夏,皂角,生山甲,生马钱子,血竭,甘草
贝母,元参,牡蛎
贝母,乳香,没药,血竭,龙胆草,牡蛎
海石,杏仁,桔梗,栝楼,连翘,皮硝
半夏,白芥子,柴胡,陈皮,瓜蒌,牡蛎
海藻,元参,红娘子,糯米,牡蛎,甘草
半夏,僵蚕,桔梗,元参,栝楼,陈皮
半夏,茯苓,甘草
半夏,黑附子,陈皮,菖蒲,神曲,茯神
半夏,杏仁,桔梗,陈皮,前胡,苏叶
