半夏,干姜,桔梗,茯苓
半夏,天南星,杏仁,麦蘖,皂角,紫苏
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
天络丝
半夏,天南星,干姜,滑石,枯矾,巴豆
半夏,天南星,杏仁,紫苏,陈皮,萝卜子
半夏,葶苈,杏仁,桔梗,五味子,陈皮
半夏,葶苈,槟榔,麦蘖,桔梗,鳖甲
半夏,天南星,皂,陈皮,辰砂,腻粉
半夏,葶苈,杏仁,紫菀,桔梗,五味子
贝母,杏仁,葶苈,款冬花,桔梗,紫菀
半夏,葶苈,款冬花,杏仁,桔梗,五味子
檀香,柿霜,乌梅肉,白冰糖,白葛粉,硼砂
半夏,葶苈,杏仁,紫菀,远志,桔梗
天南星,梅冰片,净全蝎,赤金箔,真麝香,节白附
半夏,槟榔,京三棱,陈皮,黑牵牛,木香
天南星,朱砂,蝉壳,僵蚕,蜈蚣,全蝎
天竺黄,胆南星,朱砂,金箔,白附,片脑
半夏,天南星,金箔,天麻,龙脑,丁香
半夏,芍药,旋覆花,前胡,荆芥,麻黄
半夏,当归,陈皮,茯苓,熟地,甘草
川甜消,干葛,大黄,甘草
贝母,半夏,天南星,黄柏,当归,葶苈
半夏,天南星,皂角,白矾
白芥子,芍药,透骨草,当归,鸡血藤膏,片姜黄
半夏,秦艽,夏枯草,天麻,杭白菊,葛根
海粉,桔梗,皮硝,瓜蒌仁,竹沥,连翘
天南星,当归,天麻,枣仁,陈皮,羌活
天南星,远志,僵蚕,天麻,木香,全蝎
贝母,半夏,杏仁,桔梗,紫苏,木香
贝母,杏仁,菊花,桔梗,陈皮,紫苏
贝母,半夏,杏仁,桔梗,紫苏,木香
贝母,滑石,丹皮,紫菀,小蓟,桃仁
海藻,柴胡,黄芪,党参,大青叶,板蓝根
贝母,当归,地骨皮,柴胡,白术,陈皮
贝母,柴胡,桔梗,远志,生地,赤苓
贝母,半夏,款冬花,杏仁,紫菀,桔梗
贝母,半夏,地黄,款冬花,杏仁,紫菀
贝母,半夏,杏仁,紫菀,陈皮,五味子
贝母,杏仁,陈皮,净金灯,米壳,五味子
贝母,半夏,地黄,款冬花,杏仁,紫菀
贝母,半夏,杏仁,紫菀,桔梗,苏子
半夏,莱菔,白术,陈皮,连翘,川芎
半夏,白术,陈皮,枳实
半夏,桔梗,陈皮,黄芩,黑山栀,茯苓
鱼腥草,紫菀,四季青,金荞麦,枳壳,前胡
天竺黄,胆南星,朱砂,天麻,犀角,丹参
杏仁,五味子,米仁,百合,麦门冬,人参
半夏,天南星,白芥子,杏仁,桔梗,麦芽
贝母,杏仁,桔梗,片芩,知母,石膏
半夏,杏仁,1,栝楼,广皮红,小枳实
半夏,当归,杏仁,干姜,桔梗,五味子
半夏,广皮,草果,人参,青皮,生姜
半夏,黄柏,桔梗,黄芩,栀子,黄连
半夏,当归,柴胡,桔梗,白术,陈皮
半夏,粉草,陈皮,益智,茯苓,香附
半夏,党参,白术,三七,桂枝,枳实
贝母,党参,麦冬,五味子,沙参,熟地
紫菀,旋复花,桔梗,嫩苏梗,陈皮,白前
半夏,干姜,白术,五味子,陈皮,茯苓
