芙蓉叶,花粉,滑石,生川柏,东丹,大黄
生清油,茶叶末
赤芍,连翘,花粉,黄柏,知母,地黄
赤芍,连翘,花粉,黄柏,知母,地黄
金银花,薏仁,地榆,甘草,麦冬,玄参
蒲公英,金银花,瓜蒌,连翘,甘草,野菊花
蒲公英,金银花,赤芍,连翘,车前子,地骨皮
金银花,连翘,地黄,甘草,山栀,川芎
连翘,牛蒡,薄荷,荆芥,石膏,前胡
金银花,连翘,玄明粉,薄荷,鼠粘子,荆芥
芙蓉叶,赤小豆,白芷,黄柏,雄黄,紫车前
冰片,血竭,乳香,没药,儿茶,麝香
金银花,麦冬,生地,甘菊花,熟地
姜黄,花粉,白芷,黄柏,甘草,厚朴
白酒,如意草
赤芍,昆布,海藻,柴胡,鸡血藤,王不留行
连翘,元参,花粉,鼠粘子,桅子,甘草
冰片,血竭,三七,樟脑,薄荷,麝香
冰片,血竭,乳香,没药,自然铜,儿茶
乌药,贝母,人参,甘草,远志,枣仁
白酒,苏木
没药,人参,甘草,栝楼,当归
续随子,红芽大戟,文蛤,山慈菇,麝香
金银花,没药,乳香,白芷,贝母,花粉
清酒,甜石榴,酸石榴,苍耳子,羌活,党参
车前子,车前草,生枳,薏仁,荆芥,蝉衣
冰片,虎杖,黄柏
白芷,黄柏,郁金,白及,轻粉,绿豆粉
紫苏,官桂,人参,五灵脂,砂仁,莪术
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,知母,挂金灯
大腹子,木瓜,甘草,厚朴,茯苓,干姜
芙蓉叶,黄柏,泽兰叶,黄连,大黄,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,半夏,天南星
粳米,商陆
大梅片,西丹参,硼砂,马勃,人指甲,青鱼胆
马钱子,枳壳
连翘,白芷,黄柏,薄荷,荆芥,桔梗
白菊花,北防风,黄柏,白蒺藜,地黄,石膏
芙蓉叶,五倍子,赤小豆,草乌,半夏,白及
芙蓉叶,薄荷,泽兰叶,耳草叶,金桐叶,牛膝
没药,桂心,琥珀,麝香,细辛,芍药
葶苈,辣桂,木通,猪苓,甘草,滑石
葶苈,贝母,桑白皮,人参,紫菀,五味子
没药,乳香,透骨草,白芷,木瓜,川椒
连翘,莱菔,薄荷,大力子,夏枯草,僵蛹
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯苓,泽泻,茯神
赤小豆,白樟柳根,木香,陈皮
没药,乳香,黄柏,白及,白芥子,肉桂
蚕蜕,猪蹄蜕,穿山甲,荆芥,粉草,蝉蜕
白芷,天南星,红花,当归,防风
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,地黄,甘草
生姜皮,茯苓皮,桑白皮,陈皮,大腹皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,甘草,玄参,大黄
芙蓉叶,紫荆皮,白芷,橙橘叶,菖蒲,独活
生姜皮,葶苈,车前子,木通,猪苓,地骨皮
芙蓉叶,五倍子,草乌,陈小粉,半夏,天南星
乳香,白及,上冰片,丹皮
姜黄,散血草,透骨草,黄柏,甘草,陈皮
通脱木,木通,黑牵牛,瞿麦,滑石,半夏
蒲公英,没药,乳香,木瓜,地鳖虫,栀子
冰片,硼砂,熊胆,寒水石,甘草,孩儿茶
芙蓉叶,蒲公英,金银花,花粉,牛蒡,甘草
蓖麻仁,连翘,夏枯草
银花,白芷,花粉,柴胡,贝母,僵蚕
连翘,元参,花粉,栝楼,僵蚕,桔梗
蚯蚓,麻黄,荆芥,雄黄,羌活,甘草
金银花,没药,乳香,瓜蒌,连翘,穿山甲
大戟,葶苈,甘遂,桑白皮,芫花,雄黄
乳香,硼砂,麝香,雄黄,朱砂,15克
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,五灵脂,麝香
冰片,乳香,没药,赤芍,花粉,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香,阿魏
冰片,铜绿,姜黄,樟冰,胆矾,甲片
没药,乳香,赤芍,牛蒡,白芷,草乌
金银花,没药,乳香,赤芍,白芷,花粉
葶苈,郁李核仁,桂心,松萝,海藻,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,山楂,甘草,茯苓
乌药,乳没,黄芪,吴萸,莪术,蒲黄
瓜蒌,白芨,白芷,麻黄蓍,零香,黄蜡
血竭,白芷,麻油,甘草,白占,轻粉
辛荑花,北芪,杭菊,白芷,苍耳子,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,甘草,山豆根
金银花,赤芍,泽兰,金线重楼,甘草,羌活
没药,乳香,硇砂,麝香,雄黄,白矾
五倍子,红大戟,千金子霜,山慈姑,朱砂,雄黄
没药,乳香,五倍子,肥皂肉
金银花,地丁,甘草,芍药,当归,黄耆
蒲公英,赤芍,白芷,黄柏,桃仁,茯苓
血竭,儿茶,甘草,木香,红花,茯苓
樟脑,土鳖虫,横经席,两面针,鹰不扑,虎杖
血竭,没药,乳香,儿茶,琥珀,珍珠
