半夏,昆布,桔梗,升麻,天南星片,黄连
檀香,僵蚕,苏合香,降香,朱砂,诃子
檀香,僵蚕,苏合香,降香,朱砂,诃子
杏仁,萝卜子,神僸,麦蘖,青皮,干漆
莱菔,白芥子,山楂
半夏,天南星,白僵蚕,金箔,朱砂,全蝎
银箔,远志,金箔,白僵蚕,白附子,升麻
半夏,丁香,诃子,干姜,生姜,草豆蔻
贝母,半夏,天南星,海藻,桔梗,陈皮
半夏,桔梗,陈皮,前胡,葛根,人参
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,薤白,麦芽,陈皮,厚朴,全瓜蒌
贝母,莱菔,杏仁,牛蒡,陈皮,葶苈
杏仁,葶苈,黑牵牛,防己,麻黄
胆南星,海石,栝楼,抚芎,青黛,苍术
莱菔,杏仁,夏枯草,薄荷,僵蛹,连翘
贝母,海藻,乳香,磁石,蓖麻子肉,没药
半夏,天南星,白芥子,僵蚕,红芽大戟,制甘遂
贝母,款冬花,杏仁,桔梗,地黄,天门冬
文蛤,红芽大戟,朱砂,千金子,山茨菇,雄黄
半夏,白术,天麻,老生姜,茯苓,甘草
百部,远志,桔梗,当归,菖蒲,五味子
天南星
鸡血藤,当归,蜈蚣,地龙,羌活,赤芍
苇茎,瓜瓣,薏仁,桃仁
半夏,竹茹,陈皮,枳壳,茯苓,甘草
半夏,竹茹,枳实,陈皮,甘草,生姜
半夏,桂心,远志,人参,茯苓,萆薢
半夏,陈皮,白术,干姜
半夏,芍药,桔梗,当归,二十,陈皮
半夏,芍药,桔梗,陈皮,苍术,川归
梨汁10毫升,牛乳60毫升,藕汁,生姜汁,韭汁
半夏,白术,陈皮2,人参,茯苓,甘草
半夏,党参,白术,炒广皮,西砂仁,茯苓
半夏,栝楼,生川军,小川连,皮硝,小枳实
贝母,半夏,天南星,柴胡,茯苓,当归
半夏,天南星,黄柏,苍术,辛夷,牡蛎
贝母,杏仁,桔梗,茯神,玄参,夜合花
生姜汁2滴,青连翘,生赤芍,犀角汁20毫升,淡竹沥60毫升,丹皮
半夏,麦芽,陈皮,苍术,神曲,山植
