丹参,甘草,莲子心,川芎,当归
没药,乳香,黄柏,骨碎补,白及
蚕蜕,猪蹄蜕,穿山甲,粉草,荆芥
白芷,天南星,红花,防风,当归
白芷,穿山甲,生地,黄耆,当归
赤芍,牛蒡,连翘,水牛角浓缩粉,地黄
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
没药,雄精,乳香,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,大黄,甘草
芙蓉叶,紫荆皮,白芷,骨碎补,天南星
葶苈,生姜皮,猪苓,车前子,木通
芙蓉叶,五倍子,草乌,天南星,陈小粉
乳香,上冰片,白及,丹皮
透骨草,黄柏,散血草,姜黄,大黄
通脱木,黑牵牛,白术,瞿麦,滑石
蒲公英,没药,乳香,木瓜,大黄
冰片,硼砂,寒水石,熊胆,甘草
蒲公英,芙蓉叶,金银花,牛蒡,花粉
连翘,蓖麻仁,夏枯草
银花,花粉,白芷,贝母,柴胡
元参,连翘,花粉,栝楼,茯苓
蚯蚓,细辛,麻黄,荆芥,羌活
金银花,没药,乳香,瓜蒌,连翘
大戟,葶苈,甘遂,桑白皮,芫花
乳香,硼砂,麝香,雄黄,5克
癞虾蟆草,枳壳
没药,乳香,草乌,麝香,五灵脂
冰片,没药,乳香,赤芍,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香
冰片,胆矾,铜绿,樟冰,姜黄
没药,乳香,赤芍,草乌,牛蒡
金银花,没药,乳香,白芷,赤芍
葶苈,桂心,海藻,松萝,郁李核仁
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,白术,山楂,黄芪
乌药,乳没,吴萸,黄芪,蒲黄
白芷,零香,白芨,瓜蒌,麻黄蓍
血竭,白芷,麻油,白占,轻粉
白芷,北芪,杭菊,辛荑花,白术
蟾酥,朱砂,雄黄,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,细辛,羌活
没药,乳香,硇砂,麝香,雄黄
五倍子,朱砂,山慈姑,麝香,雄黄
没药,五倍子,乳香,肥皂肉
金银花,地丁,大黄,甘草,当归
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,红花,白芍,甘草
土鳖虫,薄荷,碎骨木,朱砂根,香樟
血竭,没药,乳香,儿茶,琥珀
