连翘,花粉,元参,栝楼,山栀
蚯蚓,麻黄,雄黄,天南星,荆芥
金银花,没药,乳香,连翘,瓜蒌
大戟,葶苈,甘遂,桑白皮,雄黄
乳香,硼砂,麝香,雄黄,1
癞虾蟆草,枳壳
木鳖子,没药,乳香,草乌,五灵脂
冰片,没药,乳香,赤芍,花粉
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香
冰片,铜绿,樟冰,姜黄,甲片
没药,乳香,赤芍,草乌,白芷
金银花,没药,乳香,赤芍,白芷
葶苈,海藻,桂心,郁李核仁,松萝
败酱,薏仁,黑附子
瓜蒌仁,薏仁,白芍,桃仁,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,山楂,党参
乳没,乌药,黄芪,肉桂,三棱
零香,白芷,白芨,麻黄蓍,麻油
血竭,白芷,麻油,轻粉,白占
白芷,辛荑花,杭菊,北芪,苍耳子
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,泽兰,赤芍,蝉蜕,羌活
没药,乳香,硇砂,麝香,雄黄
五倍子,山慈姑,红大戟,千金子霜,麝香
没药,五倍子,乳香,肥皂肉
金银花,地丁,大黄,甘草,黄耆
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,白芍,红花,丹皮
土鳖虫,薄荷,香樟,徐长卿,九龙川
儿茶,血竭,没药,乳香,琥珀
