生姜皮,车前子,川萆解,木通,砂仁
蒲公英,粳米
紫草茸,白芷,藿香,地黄,续断
银花,赤芍,连翘,薄荷,牛蒡
金银花,青果,北豆根,白芍,桔梗
葫芦巴,地肤子,紫苏,猪苓,桃仁
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
冰片,血竭,没药,儿茶,赤小豆
闹羊花
芙蓉叶,滑石,花粉,生川柏,东丹
茶叶末,生清油
赤芍,花粉,连翘,黄柏,栀子
赤芍,花粉,连翘,黄柏,栀子
金银花,地榆,薏仁,麦冬,玄参
蒲公英,金银花,连翘,瓜蒌,野菊花
蒲公英,赤芍,金银花,车前子,连翘
金银花,连翘,山栀,川芎,地黄
连翘,牛蒡,薄荷,荆芥,栀子
金银花,连翘,玄明粉,薄荷,鼠粘子
芙蓉叶,赤小豆,白芷,黄柏,紫车前
冰片,血竭,没药,儿茶,乳香
金银花,生地,麦冬,甘菊花,熟地
姜黄,白芷,花粉,黄柏,天南星
白酒,如意草
昆布,赤芍,海藻,鸡血藤,王不留行
连翘,元参,花粉,桅子,鼠粘子
冰片,血竭,三七,薄荷,红花
冰片,没药,血竭,儿茶,白芷
白酒,苏木
没药,栝楼,人参,甘草,当归
续随子,文蛤,山慈菇,红芽大戟,麝香
没药,金银花,乳香,白芷,花粉
酸石榴,甜石榴,清酒,苍耳子,羌活
车前子,生枳,车前草,蝉衣,荆芥
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,绿豆粉
紫苏,官桂,五灵脂,人参,砂仁
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,炙僵蚕
大腹子,木瓜,草果仁,厚朴,甘草
芙蓉叶,黄柏,泽兰叶,大黄,黄连
黄柏末,大黄末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,西丹参,硼砂,珍珠,马勃
马钱子,枳壳
连翘,白芷,黄柏,薄荷,荆芥
白菊花,北防风,黄柏,骨碎补,石膏
芙蓉叶,五倍子,赤小豆,草乌,川乌
芙蓉叶,薄荷,金桐叶,耳草叶,泽兰叶
没药,琥珀,桂心,麝香,细辛
葶苈,猪苓,木通,辣桂,滑石
葶苈,贝母,紫菀,桑白皮,人参
没药,乳香,透骨草,白芷,木瓜
连翘,夏枯草,僵蛹,莱菔,薄荷
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神
赤小豆,白樟柳根,木香,陈皮
没药,乳香,黄柏,肉桂,骨碎补
猪蹄蜕,蚕蜕,穿山甲,荆芥,蝉蜕
穿山甲,白芷,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,青黛
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,大黄,甘草
芙蓉叶,紫荆皮,白芷,肉桂,天南星
葶苈,生姜皮,车前子,猪苓,木通
芙蓉叶,五倍子,草乌,天南星,陈小粉
乳香,上冰片,丹皮,白及
散血草,姜黄,透骨草,黄柏,香附
通脱木,瞿麦,木通,黑牵牛,滑石
蒲公英,没药,乳香,栀子,木瓜
冰片,寒水石,硼砂,熊胆,孩儿茶
蒲公英,芙蓉叶,金银花,花粉,牛蒡
蓖麻仁,连翘,夏枯草
银花,花粉,白芷,贝母,柴胡
连翘,元参,花粉,栝楼,桔梗
蚯蚓,雄黄,荆芥,麻黄,天南星
没药,金银花,乳香,瓜蒌,穿山甲
葶苈,大戟,甘遂,芫花,雄黄
硼砂,乳香,雄黄,麝香,朱砂
癞虾蟆草,枳壳
没药,木鳖子,草乌,乳香,五灵脂
冰片,没药,赤芍,乳香,花粉
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,肉桂
冰片,樟冰,铜绿,姜黄,胆矾
没药,乳香,赤芍,草乌,白芷
金银花,没药,乳香,赤芍,白芷
葶苈,海藻,桂心,郁李核仁,松萝
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,山楂,党参
乳没,乌药,黄芪,莪术,肉桂
瓜蒌,白芨,零香,麻黄蓍,白芷
血竭,白芷,白占,麻油,轻粉
辛荑花,苍耳子,北芪,杭菊,白芷
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,羌活
没药,乳香,硇砂,雄黄,麝香
五倍子,山慈姑,雄黄,红大戟,千金子霜
没药,五倍子,乳香,肥皂肉
金银花,地丁,大黄,甘草,芍药
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,红花,白芍,丹皮
土鳖虫,鹰不扑,千斤拔,两面针,买麻藤
没药,血竭,儿茶,乳香,琥珀
