丹参,甘草,川芎,当归,莲子心
没药,乳香,赤芍,草乌,白芷
金银花,没药,乳香,赤芍,白芷
葶苈,桂心,海藻,郁李核仁,松萝
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,山楂,党参
乳没,乌药,黄芪,莪术,肉桂
白芷,麻黄蓍,白芨,瓜蒌,零香
血竭,白芷,麻油,轻粉,白占
白芷,辛荑花,北芪,杭菊,苍耳子
蟾酥,朱砂,雄黄,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,羌活
没药,乳香,硇砂,麝香,雄黄
五倍子,朱砂,红大戟,千金子霜,山慈姑
没药,五倍子,乳香,肥皂肉
贝母,猪苓,桑白皮,麻黄,紫菀
金银花,大黄,地丁,甘草,当归
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,白芍,红花,甘草
薄荷,土鳖虫,樟脑,穿壁风,香樟
没药,血竭,乳香,儿茶,琥珀
