贝母,半夏,紫菀,杏仁,陈皮,五味子
贝母,杏仁,陈皮,五味子,净金灯,白矾
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗,苏子
粳米,陈皮
半夏,莱菔,陈皮,山楂,香附,神曲
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黑山栀,黄芩,茯苓
紫菀,鱼腥草,四季青,金荞麦,前胡,甘草
天竺黄,胆南星,朱砂,钩藤,天麻,僵蚕
杏仁,五味子,百合,米仁,麦门冬,人参
半夏,天南星,白芥子,杏仁,桔梗,苏子
贝母,杏仁,桔梗,片芩,石膏,甘草
半夏,杏仁,1,小枳实,栝楼,石膏
半夏,杏仁,桔梗,陈皮,五味子,当归
半夏,草果,人参,广皮,生姜,青皮
半夏,桔梗,黄芩,人参,黄柏,黄连
半夏,桔梗,陈皮,柴胡,当归,白术
半夏,陈皮,粉草,香附,人参,益智
半夏,党参,枳实,三七,干姜炭,牡蛎
贝母,党参,五味子,麦冬,沙参,山药
紫菀,桔梗,陈皮,旋复花,嫩苏梗,香附
半夏,陈皮,五味子,白术,人参,细辛
半夏,竹茹,桔梗,陈皮,枳实,柴胡
半夏,竹茹,钩藤,陈皮,枳实,丹参
杏仁,远志,陈皮,羚羊粉,琥珀粉,佩兰
半夏,陈皮,紫苏,北梗,白术,槟榔
远志,琥珀,郁金,菖蒲,人参,茯苓
半夏,远志,紫苏,茯苓,甘草,茯神
半夏,天南星,陈皮,枳实,益智仁,白豆蔻
半夏,紫苏,菖蒲,茯苓,木香,白芷
杏仁,陈皮,玫瑰花,藕节,刀豆子,生瓦楞
半夏,海藻,陈皮,党参,夏枯草,黄药子
半夏,桔梗,枳实,香附,前胡,白术
款冬花,杏仁,桔梗,枇杷叶,麦冬,前胡
半夏,海藻,昆布,陈皮,白僵蚕,当归
半夏,竹茹,桔梗,陈皮,当归,茯苓
半夏,陈皮,茅术,生姜,茯苓,甘草
玄明粉,柿霜,硼砂,白粉,薄荷,乌梅肉
胆南星,蒌皮,陈皮,小枳实,苏叶子,蒌子
竹茹,焦三仙,陈皮,干青果
焦三仙,陈皮
胆南星,天麻,陈皮,僵蚕,全蝎,白附子
贝母,海藻,漏芦,皂刺,香附,蒲公英
半夏,黄芩,桂枝,白芍,细辛,干姜
半夏,天南星,桔梗,陈皮,辰砂,枳实
贝母,半夏,陈皮,柴胡,当归,白芍
贝母,半夏,天南星,陈皮,枳实,栝楼
穿心莲,百部,玉竹,葎草,黄精,白及
朱砂,倭硫
半夏,半夏,桔梗,陈皮,紫苏,藿香
杏仁,陈皮,薄荷,桂枝,茯苓,苏叶
杏仁,葶苈,百合,石膏,天冬,桑白皮
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,人参,甘草
款冬花,杏仁,甘草,麻黄
陈皮,川朴,生芍,榔片,灵脂,狗宝
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,白术
半夏,大腹子,京三棱,木香,青皮
朱砂,生龙脑,生犀角,石膏,麦门冬,人参
朱砂,生龙脑,生犀角,石膏,麦门冬,人参
鸡苏叶,黍粘子,桔梗,龙脑,紫苏,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,白术,白芍,生姜
白芥子,杏仁,蛤壳,紫苏,瓜蒌皮,石膏
白芥子,杏仁,蛤壳,紫苏,瓜蒌皮,回克
白芥子,杏仁,蛤壳,紫苏,瓜萎皮,桅子
青礞石,硼砂,万年干,石膏
京元参,桔梗,上广皮,细川连,淡条芩,香附
紫菀,款冬花,杏仁,桔梗,紫苏,五味子
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
杏仁,葶苈,马兜铃,桔梗,陈皮,茯苓
半夏,桔梗,陈皮,党参,前胡,黄芩
半夏,苏子,白术,人参,茯苓,甘草
半夏,白术,人参,茯苓,甘草,干姜
贝母,萝卜,麦冬,鲜藕,鲜姜,秋梨
半夏,草乌,香附,茴香,茯苓,细辛
莱菔,桔梗,陈皮,麦芽,制野军,果仁
贝母,桔梗,薄荷,石膏,牛蒡,元参
半夏,胆南星,紫菀,款冬花,杏仁,牙皂肉
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,人参,茯苓,甘草
半夏,款冬花,杏仁,苏子,黄芩,桑白皮
半夏,明天麻,广红皮,钩藤钩,清炙草,荆芥
贝母,杏仁,陈皮,石膏,牛蒡,甘草
半夏,杏仁,豆腐1小块,甘草,麻黄
半夏,莱菔,白芥子,杏仁,陈皮,苏子
半夏,杏仁,马兜铃,巴豆
远志,罗参,陈皮,粉草,莲肉,当归
贝母,天竺黄,胆南星,钩藤,桔梗,陈皮
半夏,桔梗,陈皮,大力子,皂刺,重楼
梅花脑,牙硝,硼砂,五,寒水石,麝香
梅花脑,硼砂,牙消,寒水石,麝香,甘草
贝母,麦冬,枇杷叶,莲子,天冬,枣仁
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,陈皮,麦芽,枳实,山楂
半夏,天南星,枳实,法制消,黄芩,礞石
半夏,竹茹,胆草,旋复花,黄芩,黄连
贝母,半夏,杏仁,桔梗,陈皮,瓜蒌仁
贝母,半夏,紫菀,杏仁,桔梗,百合
紫菀,白芥子,百部,苏子,东白薇,剖麦冬
贝母,桔梗,陈皮,瓜蒌仁,麦门冬,黄芩
半夏,陈皮,香附,神曲,苍术,川芎
半夏,陈皮,香附,神曲,白芍,苍术
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,草果,青皮,甘草
杏仁,葶苈,丹参,地龙,石膏,牛蒡
贝母,桔梗,前胡,花粉,黄芩,黄柏
贝母,天竺黄,紫菀,杏仁,鱼腥草,陈皮
贝母,杏仁,桔梗,鱼腥草,败酱草,薏仁
昆布,海粉,牙皂,芦荟,当归,白芍
贝母,海藻,僵蚕,夏枯草,柴胡,当归
半夏,白芥子,桔梗,苏子,枳实,蝉衣
檀香,薄荷,石膏,荆芥,人参,细辛
檀香,四,二,一了,薄荷,石膏
檀香,薄荷,石膏,荆芥,人参,细辛
半夏,瓜蒌仁,香附,黄芩,苍术,黄连
贝母,半夏,天南星,白芥子,陈皮,枳实
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁霜
半夏,天南星,莱菔,海粉,苏子,瓜蒌仁
半夏,天南星,杏仁,陈皮,瓜蒌仁,枳实
贝母,贝母,紫菀,杏仁,蛤壳,白花蛇舌草
半夏,五味子,石膏,射干,细辛,甘草
贝母,半夏,杏仁,桔梗,瓜蒌仁,枳实
半夏,昆布,海藻,白芥子,陈皮,玄明粉
贝母,丹参,郁金,砂仁壳,杵头糠,荷叶蒂
蜈蚣,炙穿山甲,全虫,僵蚕,蝉衣,夜明砂
贝母,桔梗,陈皮,麦门冬,花粉,茯苓
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,白矾,黄连
半夏,天南星,天麻,川乌,川芎,干姜
半夏,天南星,天麻,川乌,川芎,干姜
天竺黄,党参,75克,75克,75克,60克
党参,麦芽,女贞子,丹参,当归,香附
天南星,黑附子,乌头,木香
天南星,辰砂,白附子,蛇含,麝香
竹茹,桔梗,陈皮,苏子,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
远志,金箔,菖蒲,铁粉,丹砂,人参
贝母,半夏,杏仁,桔梗,陈皮,苏梗
半夏,柴胡,白术,白芍,肉桂,茯苓
贝母,胆南星,远志,钩藤,陈皮,辰砂
半夏,陈皮,生姜,茯苓,甘草
贝母,半夏,杏仁,苏子,黄芩,山栀
