檀香,薄荷,人参,石膏,荆芥,细辛
半夏,瓜蒌仁,黄芩,香附,黄连,苍术
贝母,半夏,天南星,白芥子,枳实,陈皮
半夏,天南星,杏仁,枳实,陈皮,黄芩
半夏,天南星,莱菔,海粉,麦芽,瓜蒌仁
半夏,天南星,杏仁,瓜蒌仁,枳实,陈皮
贝母,贝母,紫菀,杏仁,蛤壳,白花蛇舌草
半夏,五味子,麻黄,射干,石膏,细辛
贝母,半夏,杏仁,瓜蒌仁,桔梗,枳实
半夏,白芥子,海藻,昆布,陈皮,香附
贝母,丹参,荷叶蒂,砂仁壳,杵头糠,郁金
蜈蚣,僵蚕,全虫,炙穿山甲,蝉衣,夜明砂
贝母,桔梗,陈皮,花粉,麦门冬,茯苓
百药煎,桔梗,粉草,紫河车,香附
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,黄连,白矾
半夏,天南星,天麻,川乌,川芎,干姜
半夏,天南星,天麻,川乌,川芎,干姜
天竺黄,党参,香附,60克,60克,60克
党参,麦芽,女贞子,香附,丹参,当归
天南星,黑附子,乌头,木香
天南星,白附子,辰砂,蛇含,麝香
半夏,柴胡,黑附子,当归,茱萸,人参
竹茹,桔梗,陈皮,苏子,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
金箔,远志,菖蒲,铁粉,人参,丹砂
贝母,半夏,杏仁,桔梗,陈皮,前胡
半夏,柴胡,肉桂,白术,白芍,茯苓
贝母,胆南星,远志,辰砂,钩藤,元参
半夏,陈皮,生姜,茯苓,甘草
贝母,半夏,杏仁,苏子,黄芩,黄连
半夏,僵蚕,辰砂,天麻,陈皮,槐角子
天南星,朱砂,琥珀
胆南星,朱砂,远志,陈皮,琥珀,五味子
半夏,远志,芍药,玫瑰花,厚朴花,绿萼梅
海藻,昆布,海带,陈皮,海蛤粉,木香
半夏,肉豆蔻,厚朴,山药
半夏,陈皮,吴萸,黄连,桃仁
半夏,陈皮,草果,乌梅肉,人参,白术
半夏,紫苏,厚朴,茯苓
半夏,昆布,桔梗,天南星片,粉葛,升麻
檀香,朱砂,藿香,苏合香,天麻,僵蚕
檀香,朱砂,藿香,苏合香,天麻,僵蚕
杏仁,神僸,萝卜子,麦蘖,青皮,三棱
莱菔,白芥子,山楂
半夏,天南星,朱砂,金箔,白附子,琥珀
银箔,金箔,远志,白附子,白僵蚕,丹参
半夏,丁香,草豆蔻,诃子,生姜,干姜
贝母,半夏,天南星,海藻,桔梗,枳实
半夏,桔梗,陈皮,前胡,苏叶,人参
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,麦芽,薤白,陈皮,全瓜蒌,苏梗
贝母,莱菔,杏仁,葶苈,陈皮,苏子
杏仁,葶苈,黑牵牛,防己,麻黄
胆南星,海石,栝楼,抚芎,香附,青黛
莱菔,杏仁,僵蛹,大力子,薄荷,连翘
贝母,海藻,生明矾,蓖麻子肉,没药,猫头骨牙爪1副
半夏,天南星,白芥子,红芽大戟,僵蚕,麻黄
贝母,款冬花,杏仁,桔梗,薄荷,当归
朱砂,文蛤,红芽大戟,山茨菇,千金子,雄黄
半夏,天麻,老生姜,白术,茯苓,甘草
百部,远志,桔梗,菖蒲,五味子,丹参
天南星
半夏,竹茹,陈皮,茯苓,甘草,枳壳
半夏,竹茹,枳实,陈皮,生姜,甘草
半夏,远志,桂心,黄芩,麦门冬,人参
半夏,陈皮,白术,干姜
半夏,芍药,桔梗,二十,陈皮,当归
半夏,芍药,桔梗,陈皮,麻黄,苍术
半夏,陈皮2,人参,白术,砂仁,木香
半夏,党参,西砂仁,炒广皮,白术,木香
半夏,栝楼,小枳实,生川军,小川连,皮硝
贝母,半夏,天南星,柴胡,当归,瓜蒌
半夏,天南星,辛夷,黄芩,黄柏,牡蛎
贝母,杏仁,桔梗,丹参,淡竹叶,茯神
半夏,麦芽,藿香,陈皮,山植,香附
半夏,杏仁,桔梗,陈皮,前胡,苏叶
海藻,昆布,白芥子,山茨菇,桔梗,元参
半夏,海藻,昆布,通草,海蛤粉,麦曲
贝母,半夏,昆布,海藻,柴胡,元参
海藻,昆布,炒山甲,莪术,牡蛎,夏枯草
海藻,昆布,海带,海红蛤,石燕,海马
海藻,海带,桔梗,海昆布,猪琰子,海蛤
半夏,生山甲,生马钱子,皂角,血竭,甘草
贝母,元参,牡蛎
贝母,莪术,没药,血竭,生黄耆,牡蛎
海石,杏仁,桔梗,栝楼,连翘,皮硝
