半夏,清炙草,钩藤钩,广红皮,明天麻,荆芥
贝母,杏仁,陈皮,石膏,牛蒡,麻黄
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,苏子,陈皮
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
远志,陈皮,罗参,粉草,莲肉,当归
贝母,天竺黄,胆南星,桔梗,陈皮,钩藤
半夏,桔梗,陈皮,大力子,重楼,皂刺
梅花脑,硼砂,牙硝,五,寒水石,麝香
梅花脑,硼砂,牙消,寒水石,麝香,甘草
贝母,天冬,枇杷叶,麦冬,莲子,玄参
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,麦芽,陈皮,枳实,香附
半夏,天南星,枳实,法制消,黄芩,礞石
半夏,竹茹,旋复花,胆草,黄芩,黄连
贝母,半夏,杏仁,桔梗,瓜蒌仁,陈皮
贝母,半夏,紫菀,杏仁,桔梗,百合
百部,紫菀,白芥子,苏子,剖麦冬,东白薇
贝母,桔梗,瓜蒌仁,陈皮,麦门冬,黄芩
半夏,陈皮,香附,神曲,黄连,苍术
半夏,陈皮,香附,神曲,黄连,苍术
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,草果,青皮,甘草
杏仁,葶苈,地龙,丹参,石膏,牛蒡
贝母,桔梗,前胡,黄芩,花粉,黄柏
贝母,天竺黄,紫菀,杏仁,鱼腥草,陈皮
贝母,杏仁,鱼腥草,桔梗,败酱草,薏仁
昆布,海粉,牙皂,芦荟,当归,黄连
贝母,海藻,僵蚕,柴胡,当归,夏枯草
半夏,白芥子,桔梗,苏子,枳实,蝉衣
檀香,薄荷,石膏,人参,细辛,荆芥
檀香,四,二,一了,薄荷,石膏
檀香,薄荷,石膏,人参,细辛,荆芥
半夏,瓜蒌仁,香附,黄芩,黄连,苍术
贝母,半夏,天南星,白芥子,陈皮,玄明粉
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁霜
半夏,天南星,莱菔,海粉,瓜蒌仁,麦芽
半夏,天南星,杏仁,瓜蒌仁,陈皮,枳实
贝母,贝母,紫菀,杏仁,蛤壳,北沙参
半夏,石膏,五味子,射干,麻黄,细辛
贝母,半夏,杏仁,瓜蒌仁,桔梗,枳实
半夏,昆布,海藻,白芥子,陈皮,玄明粉
贝母,郁金,丹参,砂仁壳,杵头糠,荷叶蒂
蜈蚣,僵蚕,炙穿山甲,全虫,蝉衣,夜明砂
贝母,桔梗,陈皮,麦门冬,花粉,茯苓
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,白矾,黄连
半夏,天南星,天麻,川乌,川芎,干姜
半夏,天南星,天麻,川乌,川芎,干姜
天竺黄,党参,香附,15克,24克,24克
党参,麦芽,女贞子,香附,丹参,当归
天南星,黑附子,乌头,木香
天南星,辰砂,白附子,蛇含,麝香
半夏,柴胡,当归,黑附子,茱萸,人参
竹茹,桔梗,陈皮,苏子,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
金箔,远志,菖蒲,铁粉,人参,丹砂
贝母,半夏,杏仁,桔梗,陈皮,苏梗
半夏,柴胡,白术,茯苓,肉桂,白芍
贝母,胆南星,辰砂,远志,陈皮,钩藤
半夏,陈皮,生姜,茯苓,甘草
贝母,半夏,杏仁,苏子,黄芩,黄连
半夏,辰砂,陈皮,天麻,僵蚕,槐角子
天南星,朱砂,琥珀
胆南星,朱砂,远志,陈皮,琥珀,五味子
半夏,远志,玫瑰花,绿萼梅,芍药,厚朴花
昆布,海藻,海带,陈皮,海蛤粉,木香
半夏,肉豆蔻,山药,厚朴
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,乌梅肉,白术,草果,人参
半夏,紫苏,茯苓,厚朴
半夏,昆布,桔梗,天南星片,粉葛,黄芩
檀香,朱砂,苏合香,僵蚕,天麻,琥珀
檀香,朱砂,苏合香,天麻,僵蚕,郁金
杏仁,神僸,麦蘖,萝卜子,青皮,三棱
莱菔,白芥子,山楂
半夏,天南星,朱砂,金箔,白僵蚕,琥珀
金箔,远志,银箔,白僵蚕,白附子,丹参
半夏,丁香,诃子,生姜,草豆蔻,干姜
贝母,半夏,天南星,海藻,桔梗,陈皮
半夏,桔梗,陈皮,前胡,苏叶,木香
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,麦芽,薤白,陈皮,苏梗,全瓜蒌
贝母,莱菔,杏仁,苏子,陈皮,葶苈
杏仁,葶苈,黑牵牛,防己,麻黄
胆南星,海石,栝楼,抚芎,香附,青黛
莱菔,杏仁,僵蛹,大力子,薄荷,夏枯草
贝母,海藻,生明矾,猫头骨牙爪1副,蓖麻子肉,没药
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂
贝母,款冬花,杏仁,桔梗,薄荷,麦门冬
红芽大戟,朱砂,文蛤,山茨菇,千金子,麝香
半夏,天麻,老生姜,白术,茯苓,甘草
百部,远志,桔梗,菖蒲,丹参,五味子
天南星
半夏,竹茹,陈皮,茯苓,甘草,枳壳
半夏,竹茹,陈皮,枳实,生姜,甘草
半夏,远志,桂心,麦门冬,黄芩,人参
半夏,陈皮,白术,干姜
半夏,二十,桔梗,陈皮,芍药,当归
半夏,桔梗,陈皮,芍药,麻黄,肉桂
牛乳60毫升,梨汁10毫升,藕汁,生姜汁,韭汁
半夏,陈皮2,白术,木香,人参,茯苓
半夏,西砂仁,炒广皮,党参,白术,木香
半夏,小枳实,生川军,栝楼,小川连,皮硝
贝母,半夏,天南星,牡蛎,柴胡,当归
半夏,天南星,辛夷,牡蛎,黄芩,川芎
贝母,杏仁,桔梗,淡竹叶,丹参,麦冬
生赤芍,淡竹沥60毫升,青连翘,犀角汁20毫升,生姜汁2滴,桃仁
半夏,麦芽,陈皮,香附,山植,藿香
半夏,杏仁,桔梗,陈皮,前胡,苏叶
昆布,海藻,白芥子,桔梗,山茨菇,牡蛎
半夏,昆布,海藻,通草,海蛤粉,麦曲
贝母,半夏,昆布,海藻,香附,牡蛎
昆布,海藻,炒山甲,牡蛎,夏枯草,莪术
昆布,海藻,海带,海红蛤,石燕,海马
海藻,海带,桔梗,猪琰子,海昆布,香附
半夏,生马钱子,生山甲,皂角,血竭,甘草
贝母,牡蛎,元参
贝母,牡蛎,莪术,血竭,生黄耆,没药
海石,杏仁,桔梗,栝楼,连翘,皮硝
半夏,白芥子,陈皮,香附,牡蛎,柴胡
海藻,糯米,红娘子,牡蛎,元参,甘草
半夏,桔梗,陈皮,栝楼,僵蚕,牡蛎
半夏,茯苓,甘草
半夏,陈皮,菖蒲,黑附子,神曲,人参
半夏,杏仁,桔梗,陈皮,前胡,苏叶
半夏,紫菀,杏仁,陈皮,诃子,桂心
百部,杏仁,远志,桔梗,陈皮流浸膏,甘草
旋复花,僵蚕,石膏,防风
半夏,旋复花,代赭石,人参,生姜,甘草
半夏,缩砂仁,陈皮,丁香,草果仁,白豆蔻
半夏,桔梗,陈皮,枳实,菖蒲,琥珀
竹茹,陈皮,姜汁3茶匙,柿蒂
半夏,栝楼,黄连
半夏,胆南星,朱砂,真珠,脑,人参
贝母,半夏,天南星,朱砂,桔梗,钩藤
贝母,天南星,白芥子,朱砂,麦芽,钩藤
天竺黄,天南星,朱砂,麦芽,桔梗,钩藤
贝母,炒二丑,丹参,连翘,珍珠,赤芍
贝母,胆南星,杏仁,桔梗,苏子,苏叶
贝母,半夏,天竺黄,胆南星,菖蒲,珠粉
贝母,半夏,天竺黄,天南星,朱砂,钩藤
半夏,天竺黄,竹茹,佩兰,菖蒲,郁金
