半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,丁香,藿香,茯苓,生姜
半夏,竹茹,青蒿脑4,青子芩4,陈广皮,碧玉散
桔梗,僵蚕,全蝎,天麻,白芷,川芎
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,琥珀,血竭,京墨
胆南星,朱砂,钩藤,制军,苏珠,薄荷
贝母,半夏,百合,京知母,石膏,血琥珀
天竺黄,天南星,檀香,朱砂,琥珀,枳实
天竺黄,天南星,檀香,金箔,粉草,枳实
天竺黄,天南星,朱砂,僵蚕,全蝎,琥珀
天竺黄,天南星,檀香,蜂蜜,朱砂,金箔
贝母,天竺黄,胆南星,僵蚕,全蝎,琥珀
天竺黄,胆南星,月石,辰砂,琥珀,沉香
天竺黄,天南星,僵蚕,钩藤,辰砂,真麝香
贝母,天竺黄,胆南星,朱砂,桔梗,钩藤
天南星,远志,人乳,大辰砂,菖蒲,茯苓
贝母,天竺黄,月石,青礞石,伽楠香,枣仁
贝母,月石,青礞石,沉香,天竹黄,枣仁
远志,金箔,桔梗,辰砂,麝香3厘,粉草
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,陈皮
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,香附,莪术,红花
透骨草,马前子,烧酒,老葱胡,川羌,三七
半夏,昆布,陈皮,红花,当归,青皮
半夏,陈皮,当归,茯苓,白芍,川芎
贝母,桔梗,麦冬,黄芩,当归,青皮
天竺黄,梅片,朱砂,油松节,白蔻,蝎子
半夏,麦门冬,旋覆花,桂心,枳实,芍药
杏仁,葶苈,蛤蚧,商陆,防己,茯苓
白芥子,陈皮,上肉桂,全丝瓜,白僵蚕,莪术
天竺黄,天南星,桔梗,陈皮,僵蚕,薄荷
半夏,丁香,枣仁,生姜,甘草,厚朴
杏仁,陈皮,紫苏,茯苓,甘草,麻黄
天南星,全蝎,天麻,粉草,独活,人参
天南星,全蝎,天麻,粉草,独活,人参
半夏,天南星,白附子,皂角,干生姜,寒水石
天南星,蒌仁,陈皮,陈皮,元芩,清夏
贝母,半夏,昆布,海藻,海带,枳实
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,陈皮,麦蘖,紫苏
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,陈皮,瓜蒌仁,香附
半夏,杏仁,葶苈,桔梗,陈皮,旋覆花
半夏,葶苈,桔梗,陈皮,硼砂,麦蘖
半夏,天南星,陈皮,辰砂,腻粉,皂
半夏,紫菀,杏仁,葶苈,桔梗,陈皮
贝母,紫菀,款冬花,杏仁,葶苈,桔梗
半夏,款冬花,杏仁,葶苈,桔梗,陈皮
檀香,柿霜,白葛粉,硼砂,白冰糖,紫苏
半夏,紫菀,杏仁,苏子,远志,葶苈
天南星,直僵蚕,代赭石,梅冰片,明天麻,净全蝎
