半夏,天南星,白附子,香墨,芎,杜仲
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,白矾,泽泻,白术
贝母,桔梗,薄荷,薄荷,诃子,连翘
贝母,半夏,天竺黄,胆南星,白芥子,桔梗
半夏,海粉,杏仁,香附,栝楼,青黛
款冬花,蛤蚧,成炼钟乳,白矾,肉桂,甘草
贝母,半夏,莱菔,白芥子,杏仁,党参
半夏,陈皮,藿香,茯苓,苍术,人参
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,丁香,藿香,茯苓,生姜
半夏,竹茹,青子芩4,青蒿脑4,碧玉散,陈广皮
桔梗,僵蚕,天麻,全蝎,麻黄,川芎
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,京墨,麝香
胆南星,朱砂,钩藤,琥珀,薄荷,制军
贝母,半夏,百合,石膏,天冬,血琥珀
天竺黄,天南星,檀香,朱砂,枳实,琥珀
天竺黄,天南星,檀香,枳实,金箔,粉草
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎
天竺黄,天南星,檀香,朱砂,琥珀,金箔
贝母,天竺黄,胆南星,僵蚕,琥珀,全蝎
天竺黄,胆南星,琥珀,辰砂,腰黄,沉香
天竺黄,天南星,钩藤,僵蚕,琥珀,真麝香
贝母,天竺黄,胆南星,僵蚕,朱砂,钩藤
天南星,远志,菖蒲,大辰砂,人乳,真琥珀
贝母,天竺黄,青礞石,麝香,枣仁,伽楠香
贝母,青礞石,沉香,麝香,枣仁,天竹黄
金箔,桔梗,远志,粉草,香附,辰砂
海粉,青黛,神曲,黄芩
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,海藻,昆布,海带,陈皮
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,香附,石礞,蚶壳,红花,莪术
透骨草,烧酒,老葱胡,马前子,川羌,三七
半夏,昆布,陈皮,当归,白芍,红花
半夏,陈皮,当归,白芍,地黄,川芎
贝母,麦冬,桔梗,当归,白芍,白术
天竺黄,僵蚕,朱砂,天麻,油松节,香附
半夏,桂心,枳实,芍药,防己,旋覆花
杏仁,葶苈,蛤蚧,商陆,防己,麻黄
白芥子,陈皮,上肉桂,全丝瓜,白僵蚕,莪术
天竺黄,天南星,陈皮,天麻,桔梗,僵蚕
半夏,丁香,生姜,枣仁,厚朴,甘草
杏仁,陈皮,紫苏,麻黄,茯苓,甘草
天南星,天麻,全蝎,粉草,独活,荆芥
天南星,天麻,全蝎,粉草,独活,荆芥
半夏,天南星,白附子,寒水石,白矾,皂角
天南星,陈皮,陈皮,蒌仁,花粉,元芩
贝母,半夏,海藻,昆布,海带,枳实
