海藻,柴胡,党参,黄芪,大青叶,板蓝根,谷精草
贝母,地骨皮,当归,柴胡,陈皮,薄荷,白术
贝母,赤苓,柴胡,远志,桔梗,玄参,生地
贝母,半夏,枇把叶,木香,款冬花,紫菀,杏仁
贝母,半夏,地黄,款冬花,紫菀,杏仁,桔梗
贝母,半夏,生草,紫菀,杏仁,五味子,陈皮
贝母,净金灯,杏仁,米壳,五味子,陈皮,白矾
贝母,半夏,地黄,款冬花,紫菀,瓜蒌皮,杏仁
贝母,半夏,生地,冬花,紫菀,瓜蒌皮,杏仁
半夏,莱菔,连翘,白术,陈皮,神曲,山楂
半夏,白术,陈皮,枳实
半夏,黄连,桔梗,陈皮,黑山栀,黄芩,枳壳
紫菀,鱼腥草,四季青,金荞麦,枳壳,前胡,麻黄
天竺黄,胆南星,犀角,僵蚕,羚羊,朱砂,冰片
杏仁,五味子,人参,米仁,麦门冬,知母,百合
半夏,天南星,白芥子,黄芩,白术,杏仁,麦芽
贝母,片芩,杏仁,桔梗,知母,石膏,甘草
半夏,广皮红,1,杏仁,小枳实,栝楼,麻黄
半夏,干姜,杏仁,桔梗,五味子,桂枝,陈皮
半夏,草果,生姜,青皮,人参,广皮
半夏,黄柏,桔梗,黄芩,黄连,栀子,大黄
半夏,当归,柴胡,桔梗,陈皮,白术,黄芩
半夏,益智,人参,粉草,陈皮,茯苓,香附
半夏,白术,党参,桂枝,三七,干姜炭,枳实
贝母,熟地,党参,五味子,麦冬,沙参,山药
紫菀,嫩苏梗,旋复花,桔梗,陈皮,香附,白前
半夏,干姜,五味子,陈皮,白术,茯苓,细辛
半夏,柴胡,竹茹,桔梗,陈皮,枳实,麦冬
半夏,竹茹,葛根,云苓,陈皮,枳实,生磁石
杏仁,远志,当归,琥珀粉,羚羊粉,佩兰,藿香
半夏,五灵脂,紫苏,北梗,陈皮,辣桂,白术
远志,郁金,菖蒲,琥珀,人参,茯苓
半夏,远志,茯神,紫苏,茯苓,厚朴,甘草
半夏,天南星,槟榔,益智仁,陈皮,神曲,枳实
半夏,菖蒲,紫苏,木香,茯苓,白芷,厚朴
杏仁,藕节,代赭石,当归,生瓦楞,刀豆子,木瓜
半夏,当归,海藻,党参,黄药子,陈皮,夏枯草
半夏,白术,桔梗,枳实,人参,前胡,香附
杏仁,款冬花,桔梗,黄芩,麦冬,枇杷叶,前胡
半夏,昆布,苦参,海藻,白僵蚕,陈皮,木通
半夏,竹茹,地黄,桔梗,陈皮,当归,黄连
半夏,生姜,陈皮,茅术,枳壳,茯苓,甘草
玄明粉,柿霜,白粉,硼砂,寒水石,冰片,乌梅肉
胆南星,羚羊,川连,蒌皮,蒌子,苏叶子,于术
竹茹,焦三仙,干青果,陈皮
三仙饮,炙桑白皮
焦三仙,陈皮
胆南星,僵蚕,黑附子,杭芍,菖蒲,郁金,陈皮
贝母,柴胡,地丁,海藻,漏芦,元参,双花
半夏,干姜,桂枝,黄芩,白芍,栀子,麻黄
半夏,天南星,栀子,黄连,辰砂,桔梗,栝楼
贝母,半夏,黄耆,鳖甲,柴胡,陈皮,当归
贝母,半夏,芍药,天南星,栝楼,陈皮,枳实
百部,穿心莲,玉竹,葎草,黄精,白及
朱砂,倭硫
半夏,半夏,藿香,桔梗,紫苏,陈皮,和粗皮捣令细
杏仁,桂枝,陈皮,苏叶,桑白皮,薄荷,茯苓
杏仁,葶苈,大黄,木通,天冬,百合,枳壳
半夏,醋2500毫升
