白术,当归,川芎,人参,陈皮,黑姜
白术,黄芩,当归,甘草,人参,贝母
白术,神曲,地黄,黄芩,芍药,黄连
山药,白术,黄芩,甘草,党参,薏仁
山药,扁豆,白术,麦冬,车前子,猪苓
白术,党参,枳实,麦芽,山楂,陈皮
山药,白术,黄连,甘草,神曲,人参
白术,人参,麦芽,山楂,枳实,陈皮
白术,神曲,芍药,当归,川芎,山楂
白术,神曲,黄连,甘草,人参,山楂
山药,白术,神曲,茯苓,茯苓,山楂
山药,白术,黄连,甘草,木香,砂仁
山药,扁豆,白术,甘草,桔梗,黄耆
白术,神曲,黄连,甘草,人参,楂肉
山药,扁豆,茯苓,柿霜,莲肉,白糖
白术,党参,黄连,当归,甘草,枳壳
蒸饼
神曲,黄芩,砂仁,苍术,当归,甘草
白术,神曲,当归,甘草,砂仁,川芎
白术,甘草,人参,枳壳,青皮,山楂
山药,扁豆,枳壳,槟榔,麦芽,砂仁
白术,枳实,厚朴,陈皮
白术,神曲,甘草,人参,草豆蔻,青皮
白术,黄连,草豆蔻,人参,苍术,黄耆
粳米,龙眼肉,枣仁
白术,牡蛎,龙骨,白芍,半夏,附片
山药,白术,甘草,党参,麦冬,牡蛎
粳米,高良姜,蔓荆子,香子,鹿头肉
粳米,落花生,冰糖
山药,扁豆,白术,当归,甘草,人参
粳米,嫩莲实
山药,扁豆,神曲,麝香,黄连,黄连
苍术,肉豆蔻,山楂,木通,厚朴,车前子
或加肉桂,当归,甘草,熟地,干姜
山药,白术,当归,甘草,神曲,桔梗
山药,白术,黄连,当归,神曲,枳壳
白术,甘草,人参,干姜,苏子,茯苓
白术,甘草,人参,干姜
白术,甘草,人参,干姜,茯苓,半夏
白术,甘草,人参,干姜
神曲,大黄,麦芽,木香,山楂,干姜
仙灵脾,黄酒,黑豆皮,槟榔,陈皮,葱白
柿饼,栗子肉
白术,白矾,木香,黄芪,柴胡,乌贼骨
片子姜黄,肉豆蔻,荜澄茄,乳香,巴豆,木香
片子姜黄,肉豆蔻,荜澄茄,乳香,巴豆,木香
诃子,山柰,碱花,大黄,木香,寒水石
诃子,山柰,碱花,大黄,木香,寒水石
白术,甘草,人参,陈皮,茯苓,半夏
白术,党参,炙草,乌梅,半夏,茯苓
白术,甘草,人参,陈皮,茯苓,半夏
檀香,香茹,厚朴,甘草,羌活,茯苓
白术,甘草,人参,麦门冬,陈皮,茯苓
白术,神曲60克米粉,白糖,麦芽,陈皮
山药,白术,甘草,人参,远志,芡实
白术,人参,黄耆,牡蛎,茯苓,麻黄根
白术,甘草,木香,干姜,桂,厚朴
白术,甘草,萆薢,太子参,黄皮树叶,茯苓
白术,防风,当归,甘草,人参,干姜
白术,芍药,防风,桔梗,诃子,当归
神曲,当归,甘草,山楂,川芎,蝉蜕
白术,神曲,青皮,木香,槟榔,砂仁
扁豆,车前,丹参,白芍,谷芽,猪腰
神曲,青皮,延胡索,莪术,陈皮,三棱
粳米,鲜荠菜
白术,甘草,黄芪,薏仁,制附片,茯苓
白术,党参,当归,郁金,黄芪,丹参
黄芪,甘草,甘松,白芨,白芍,鹿角胶
山药,糯米粉,白糖,芡实
山药,白术,百合,党参,枇杷叶,黄精
白术,黄芩,黄连,甘草,石膏,使君子
白术,黄芩,桔梗,甘草,贝母,薏仁
白术,防风,甘草,苍术,生地,蝉蜕
白术,扁豆,人参,甘草,白芍,半夏
白术,甘草,人参,青皮,干姜,厚朴
山药,白术,甘草,人参,神曲,麦芽
山药,白术,甘草,人参,山楂,泽泻
3O克,丁香3O克,当归,甘草,人参,茯苓
山药,白术,当归,人参,木香,远志
白术,当归,甘草,人参,贝母,木香
肉豆蔻,草果子,去皮牵牛,缩砂仁,蒜,蓬莪茂
白术,甘草,苍术,良姜,草果,陈皮
白术,芍药,陈皮,枳实
砂仁,枳壳,木香,厚朴,沉香,川楝
砂仁,大米
扁豆,赤芍等份,甘草,枳壳,藿香,丹皮
山药,白术,牛膝,茱萸,白酒,石斛
白术,枳壳,柴胡,白芍,半夏,茯苓
白术,甘草,人参,木香,陈皮,黑附子
山药,扁豆,白术,黄柏,鹿茸,紫河车
山药,白术,地黄,芍药,当归,川芎
芡实米,金樱子
神曲,赤小豆,车前草,大麦须,小枳实,茯苓
山药,白术,人参,芡实,茯苓,肉豆蔻
山药,白术,人参,芡实,茯苓,肉豆蔻
白术,白糖,白面粉,鲜生姜,益智仁
山药,紫荆皮,枣仁
粳米,山楂,砂糖
白术,干姜,陈皮,肉桂
白术,猪苓,泽泻,茯苓
山药,半夏,肉豆蔻,厚朴
白术,党参,甘草,牛膝,茯苓,莪术
白术,党参,甘草,茯苓
白术,地黄,芍药,当归,甘草,黄柏
苍术,薏仁,熟地,元参,苍耳子,茯苓
山药,白术,当归,甘草,生地,乳香
白术,扁豆,人参,甘草,黄耆,木瓜
白术,甘草,砂仁,人参,木香,藿香
苍术,乌头,茴香
白术,瞿麦,木通,车前子,猪苓,泽泻
白术,当归,独活,川芎,天麻
白术,当归,甘草,川芎,生地,白藓皮
山药,鹿茸,丹参,黄芪,赤芍,续断
赤小豆,白樟柳根,木香,陈皮
肉豆蔻,陈米,30屯,甘草,陈皮,黑牵牛
山药,白术,甘草,人参,神曲,巴戟天
鲜土豆
猪脊骨,茯苓
白术,党参,甘草,丹参,良姜,茯苓
白术,黄连,猪苓,白芍,苏叶,附片
山药,白术,甘草,破故纸,党参,肉苁蓉
白术,当归,草豆蔻,人参,厚朴,黑姜L
白术,神曲,党参,防风,甘草,干姜
山药,白术,甘草,人参,车前子,柴胡
苍术,白花蛇舌草,鹿衔草,麻黄,车前子,益母草
白术,天冬,枸杞,黄精,松叶,糯米
生姜皮,茯苓皮,桑白皮,陈皮,大腹皮
葱,鸡,酒,乌灵参,姜,盐
党参,木香,小川连,黑干姜,小青皮,生冬术
扁豆,香薷,厚朴
砂仁,木香,藕粉白糖
砂仁,白砂糖,香橼
白术,木香,砂仁,枳实
白术,木香,砂仁,枳实
白术,党参,甘草,木香,半夏,炒广皮
白术,芍药,当归,甘草,柴胡,茯苓
白术,当归,甘草,薄荷,柴胡,白芍
白术,当归,甘草,薄荷,柴胡,白芍
白术,黄芩,防风,荆芥,苍术,川芎
干莲肉,菟丝子,五味子,茯苓
白术,甘草,良姜,红豆,缩砂仁,胡椒
白术,干姜,枳实,茯苓
神曲,苍术,黄连,麦芽,栀子,甘草
谷芽,山楂,积壳等份,槟榔
白术,神曲,甘草,川芎,砂仁,人参
神曲,干姜,麦芽,炒乌梅肉
白术,甘草,大黄,人参,萝卜子,黑附子
白术,木香,沉香,苏子,萝卜子,葶苈
白术,甘草,人参,鳖甲,厚朴,白芍
白术,神曲,人参,木香,半夏,白云苓
生黄耆,乳香,贝母,玄参,没药,莪术
白术,黄芩,黄连,甘草,曲,人参
神曲,黄芩,苍术,黄连,桔梗,栀子
神曲,甘草,木香,干姜,丁皮,草果
神曲,甘草,缩砂仁,草果仁,丁香,陈皮
白术,生地,人参,知母,花粉,茯苓
山药,小米白糖
白胡椒,丁香,茱萸,肉桂
白术,神曲,桔梗,木香,砂仁,花粉
苍术,泽泻,炒麦芽,陈皮,茯苓,六一散
白术,扁豆,人参,甘草,藿香,茯苓
薏仁
粳米,细盐,羊骨左右,生姜葱白
嫩肥羊肉,曲,木香,杏仁,糯米
山药,甘草,青皮,缩砂,苍术,良姜
诃子,甘草,陈皮,丁香,青皮
白术,当归,甘草,人参,木香,阿胶
山药,甘草,青皮,诃子,陈皮,丁香
山药,白术,甘草,党参,丹参,山楂
党参,大黄,栀子,地鳖虫,炮山甲粉,玉米须
白术,党参,当归,苍术,牡蛎,佛手
白术,党参,甘草,山楂,半夏,枳实
白术,升麻,甘草,诃子,人参,苍术
白术,防风,地龙,黄芪,赤芍,桂枝
苍术,地黄,何首乌,地骨皮,茯苓,天门冬
砂仁,甘草,甘草,地榆
白术,当归,甘草,川芎,柴胡,茯苓
白术,当归,甘草,丹皮,郁金,麦冬
白术,甘草,人参,陈皮,茯苓
党参,猫肉,桂圆肉
檀香,缩砂仁,丁香,甘草,白豆蔻,木香
砂仁,檀香,甘草,木香,丁香,白果仁
山药,扁豆,白术,地黄,当归,人参
白术,当归,槟榔,厚朴,白芍,陈皮
白术,神曲,甘草,人参,苍术,厚朴
山药,当归,木香,薏仁,麦冬,建莲肉
山药,川椒,薏仁,芡实,莲子肉,茯苓
仙灵脾,白花蛇舌草,鹿衔草,方1黄芪,当归,仙鹤草
山药,扁豆,白术,黄连,甘草,人参
山药,扁豆,人参,甘草,丹参,白芍
白术3巴豆,缩砂仁,丁香,木香,槟榔,陈皮
白术,猪苓,茯苓
粳米,椒,葱,豆豉,雄猪肚,姜
白术,甘草,厚朴,陈皮,藿香,半夏
白术,枳实
白术,枳实
白术,半夏,枳实,蓬莪茂,茯苓
白术,芍药,防风,苍术,益智仁,茯苓
白术,甘草,草豆蔻,人参,青皮,木香
生黄耆,于术,当归,牛膝,野台参,乳香
于术,5条,当归,人参,30克,30克
白术,当归,乳香,没药,厚朴,陈皮
神曲,甘草,草豆蔻,干姜,大麦芽,陈皮
白术,黄芩,砂仁,黄连,甘草,人参
山药,扁豆,人参,燕窝,老米,莲肉
神曲,甘草,苍术,干姜,良姜,乌梅肉
槐皮,苦楝皮,雄黄
