半夏,天南星,莱菔,海粉,麦芽
半夏,天南星,杏仁,枳实,陈皮
贝母,贝母,紫菀,蛤壳,杏仁
半夏,五味子,射干,细辛,石膏
贝母,半夏,杏仁,桔梗,枳实
半夏,昆布,海藻,白芥子,玄明粉
贝母,郁金,杵头糠,砂仁壳,荷叶蒂
蜈蚣,僵蚕,炙穿山甲,全虫,蝉衣
贝母,桔梗,陈皮,花粉,地黄
五倍子,诃子,五味子,甘草
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,黄连
半夏,天南星,陈皮,黄芩,白矾
半夏,天南星,天麻,川乌,干姜
半夏,天南星,天麻,川乌,干姜
天竺黄,党参,60克,60克,60克
天南星,黑附子,乌头,木香
天南星,辰砂,蛇含,麝香,白附子
半夏,柴胡,茱萸,当归,黑附子
竹茹,苏子,桔梗,陈皮,甘草
红芽大戟,文蛤,续随子,山慈菇,麝香
远志,金箔,铁粉,菖蒲,丹砂
贝母,半夏,杏仁,桔梗,陈皮
半夏,柴胡,白术,白芍,肉桂
贝母,胆南星,远志,辰砂,陈皮
半夏,陈皮,茯苓,生姜,甘草
贝母,半夏,杏仁,苏子,山栀
半夏,僵蚕,辰砂,槐角子,天麻
天南星,朱砂,琥珀
胆南星,远志,朱砂,陈皮,当归
半夏,芍药,远志,玫瑰花,佛手花
昆布,海藻,海带,陈皮,海蛤粉
半夏,山药,厚朴,肉豆蔻
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,白术,乌梅肉,草果
半夏,紫苏,厚朴,茯苓
半夏,昆布,桔梗,升麻,粉葛
檀香,苏合香,降香,僵蚕,朱砂
檀香,苏合香,降香,僵蚕,朱砂
杏仁,麦蘖,神僸,萝卜子,三棱
莱菔,白芥子,山楂
半夏,天南星,朱砂,金箔,白僵蚕
银箔,远志,金箔,升麻,白僵蚕
半夏,丁香,诃子,干姜,草豆蔻
贝母,天南星,半夏,海藻,桔梗
半夏,桔梗,陈皮,葛根,前胡
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,薤白,麦芽,陈皮,全瓜蒌
贝母,葶苈,莱菔,杏仁,苏子
葶苈,杏仁,黑牵牛,防己,麻黄
海石,胆南星,栝楼,青黛,香附
莱菔,杏仁,僵蛹,夏枯草,薄荷
贝母,海藻,乳香,蓖麻子肉,蜣螂虫
半夏,天南星,白芥子,红芽大戟,僵蚕
贝母,杏仁,桔梗,款冬花,当归
红芽大戟,文蛤,山茨菇,朱砂,千金子
