没药,乳香,赤芍,草乌,白芷,牛蒡
金银花,没药,赤芍,乳香,花粉,白芷
葶苈,海藻,桂心,郁李核仁,松萝,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,山楂,党参,山药
乌药,乳没,黄芪,肉桂,吴萸,莪术
白芨,麻黄蓍,零香,瓜蒌,白芷,麻油
血竭,白芷,麻油,白占,轻粉,紫草
杭菊,辛荑花,白芷,北芪,苍耳子,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,羌活,金线重楼,蝉蜕
没药,乳香,硇砂,麝香,白矾,朱砂1
五倍子,朱砂,雄黄,麝香,红大戟,山慈姑
没药,五倍子,乳香,肥皂肉
金银花,地丁,大黄,甘草,芍药,当归
蒲公英,赤芍,白芷,黄柏,桃仁,丹皮
血竭,儿茶,红花,白芍,丹皮,甘草
土鳖虫,樟脑,豆豉姜,两面针,徐长卿,猪牙皂
没药,血竭,儿茶,乳香,琥珀,珍珠
