山药,白术,党参,砂仁,苍术
扁豆,白术,木瓜,厚朴,香薷叶
白术,砂仁,陈皮,木香,茯苓
苍术,茴香,乌头
白术,茵陈,泽泻,木通,茯苓
白术,独活,川芎,天麻,当归
白术,白藓皮,白芷,川芎,茯苓
山药,黄芪,赤芍,枸杞,茯苓
赤小豆,白樟柳根,陈皮,木香
30屯,陈米,肉豆蔻,陈皮,黑牵牛
山药,白术,神曲,砂仁,谷芽
鲜土豆
猪脊骨,茯苓
白术,党参,良姜,茯苓,丹参
白术,泽泻,茯苓,苏叶,西洋参
山药,白术,党参,枸杞,茯苓
白术,草豆蔻,厚朴,茯苓,黑姜L
白术,神曲,党参,山楂,防风
山药,白术,苍术,陈皮,柴胡
苍术,鹿衔草,白花蛇舌草,麻黄,鱼腥草
白术,黄精,枸杞,松叶,细曲
生姜皮,茯苓皮,陈皮,桑白皮,大腹皮
葱,鸡,乌灵参,酒,盐
党参,小青皮,清炙草,小川连,生冬术
扁豆,香薷,厚朴
砂仁,藕粉白糖,木香
砂仁,白砂糖,香橼
白术,砂仁,木香,枳实
白术,砂仁,木香,枳实
白术,党参,木香,茯苓,西砂仁
白术,芍药,茯苓,柴胡,当归
白术,茯苓,柴胡,白芍,薄荷
白术,茯苓,柴胡,白芍,薄荷
白术,苍术,黄芩,防风,龙骨
干莲肉,茯苓,菟丝子,五味子
白术,缩砂仁,红豆,良姜,胡椒
白术,茯苓,枳实,干姜
神曲,麦芽,苍术,栀子,茯苓
山楂,积壳等份,谷芽,槟榔
白术,神曲,砂仁,陈皮,川芎
神曲,麦芽,炒乌梅肉,干姜
白术,大黄,黑附子,茯苓,萝卜子
白术,山栀,葶苈,木香,茯苓
白术,厚朴,六曲,鳖甲,黑附子
白术,神曲,白云苓,青化桂,正广皮
生黄耆,三棱,莪术,贝母,乳香
白术,黄芩,缩砂仁,曲,干生姜
神曲,苍术,黄芩,栀子,莱菔
神曲,丁皮,草果,陈皮,茯苓
神曲,缩砂仁,草果仁,白豆蔻,陈皮
白术,花粉,茯苓,知母,生地
山药,小米白糖
白胡椒,肉桂,丁香,茱萸
白术,神曲,砂仁,苍术,白芷
苍术,炒麦芽,陈皮,茯苓,泽泻
扁豆,白术,茯苓,藿香,人参
薏仁
粳米,羊骨左右,生姜葱白,细盐
嫩肥羊肉,曲,木香,糯米,杏仁
山药,苍术,良姜,丁皮,茴香
诃子,陈皮,丁香,青皮,甘草
白术,陈皮,木香,龟板胶,枣仁
山药,诃子,陈皮,青皮,丁香
山药,白术,党参,黄芪,山楂
党参,栀子,大黄,茯苓,玉米须
白术,党参,苍术,山楂,佛手
白术,党参,山楂,陈皮,茯苓
白术,苍术,诃子,陈皮,茯苓
白术,黄芪,防风,蝉衣,赤芍
苍术,地黄,何首乌,茯苓,地骨皮
砂仁,地榆,甘草,甘草
白术,川芎,茯苓,钩藤钩,柴胡
白术,丹皮,黑芥穗,姜炭L,香附
白术,陈皮,茯苓,人参,甘草
党参,猫肉,桂圆肉
缩砂仁,檀香,白豆蔻,木香,丁香
砂仁,檀香,白果仁,木香,生姜
扁豆,山药,白术,地黄,莲子肉
白术,厚朴,陈皮,枣仁,槟榔
白术,神曲,苍术,厚朴,陈皮
山药,建莲肉,薏仁,木香,大茴
山药,薏仁,芡实,茯苓,莲子肉
仙灵脾,鹿衔草,生鸡内金,白花蛇舌草,茯苓
扁豆,山药,白术,神曲,薏仁
山药,扁豆,檀香,莲肉,茯神
白术3巴豆,缩砂仁,陈皮,白豆蔻,木香
白术,茯苓,猪苓
粳米,葱,雄猪肚,豆豉,姜
白术,厚朴,陈皮,生姜,藿香
白术,枳实
白术,枳实
白术,蓬莪茂,茯苓,枳实,半夏
白术,苍术,防风,芍药,益智仁
白术,草豆蔻,缩砂仁,肉豆蔻,白豆蔻
生黄耆,于术,野台参,牛膝,威灵仙
于术,5条,30克,30克,30克
白术,厚朴,陈皮,乳香,没药
神曲,草豆蔻,大麦芽,陈皮,干姜
白术,砂仁,黄芩,厚朴,泽泻
山药,扁豆,莲肉,燕窝,老米
神曲,苍术,良姜,茯苓,茴香
槐皮,苦楝皮,雄黄
