贝母,陈皮,薄荷,麦门冬,香附,柴胡,白芍
贝母,远志,桔梗,广皮,柴胡,银花,赤苓
贝母,半夏,紫菀,杏仁,款冬花,远志,桔梗
贝母,半夏,紫菀,杏仁,款冬花,桔梗,栝楼
贝母,半夏,杏仁,紫菀,陈皮,五味子,马兜铃
贝母,杏仁,陈皮,五味子,净金灯,米壳,白矾
贝母,半夏,紫菀,杏仁,款冬花,桔梗,陈皮
贝母,半夏,紫菀,杏仁,桔梗,陈皮,陈皮
粳米,陈皮
半夏,莱菔,陈皮,香附,神曲,山楂,连翘
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黑山栀,黄芩,茯苓,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄,甘草
天竺黄,胆南星,朱砂,钩藤,天麻,僵蚕,薄荷
杏仁,米仁,五味子,麦门冬,百合,人参,天门冬
半夏,天南星,白芥子,杏仁,瓜蒌仁,桔梗,枳实
贝母,杏仁,桔梗,石膏,片芩,麻黄,甘草
半夏,杏仁,栝楼,小枳实,1,石膏,广皮红
半夏,杏仁,桔梗,陈皮,五味子,桂枝,白芍
半夏,广皮,草果,人参,青皮,生姜
半夏,桔梗,黄芩,人参,黄柏,大黄,黄连
半夏,桔梗,陈皮,柴胡,白芍,当归,黄芩
半夏,陈皮,粉草,香附,人参,茯苓,益智
半夏,党参,枳实,三七,牡蛎,干姜炭,桂枝
贝母,党参,五味子,麦冬,沙参,山药,熟地
紫菀,桔梗,陈皮,旋复花,嫩苏梗,香附,白前
半夏,陈皮,五味子,人参,茯苓,细辛,白术
半夏,竹茹,桔梗,陈皮,枳实,香附,麦冬
半夏,竹茹,钩藤,陈皮,枳实,丹参,生磁石
杏仁,远志,陈皮,佩兰,羚羊粉,琥珀粉,郁金
半夏,陈皮,紫苏,北梗,辣桂,茯苓,木香
半夏,远志,紫苏,茯苓,茯神,厚朴,甘草
半夏,天南星,陈皮,枳实,益智仁,神曲,白豆蔻
半夏,菖蒲,紫苏,茯苓,木香,白芷,厚朴
杏仁,陈皮,玫瑰花,藕节,生瓦楞,刀豆子,代赭石
半夏,海藻,党参,陈皮,黄药子,蛇舌草,炒白芍
半夏,桔梗,枳实,香附,前胡,人参,茯苓
杏仁,款冬花,桔梗,麦冬,枇杷叶,前胡,黄芩
半夏,昆布,海藻,陈皮,当归,白僵蚕,茯苓
半夏,竹茹,桔梗,陈皮,当归,茯苓,地黄
半夏,陈皮,茅术,茯苓,生姜,甘草,枳壳
玄明粉,硼砂,柿霜,白粉,薄荷,乌梅肉,寒水石
胆南星,陈皮,蒌子,苏叶子,小枳实,羚羊,蒌皮
竹茹,焦三仙,陈皮,干青果
焦三仙,陈皮
胆南星,陈皮,天麻,僵蚕,郁金,全蝎,钩蘑
贝母,海藻,元参,皂刺,漏芦,香附,柴胡
半夏,桂枝,黄芩,白芍,细辛,麻黄,干姜
半夏,天南星,桔梗,辰砂,栝楼,枳实,陈皮
贝母,半夏,陈皮,白芍,柴胡,当归,黄芩
贝母,半夏,天南星,栝楼,枳实,陈皮,香附
百部,玉竹,穿心莲,葎草,黄精,白及
半夏,半夏,桔梗,陈皮,紫苏,藿香,和粗皮捣令细
杏仁,陈皮,薄荷,桂枝,茯苓,苏叶,麻黄
杏仁,葶苈,石膏,天冬,百合,木通,大黄
半夏,醋2500毫升
款冬花,钟乳粉,川姜,人参,白术,甘草
杏仁,款冬花,麻黄,甘草
生芍,陈皮,榔片,灵脂,川朴,玄胡,狗宝
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,或加旋复花,大皂角
半夏,大腹子,京三棱,木香,青皮
生龙脑,生犀角,朱砂,石膏,麦门冬,茯苓,人参
生龙脑,生犀角,朱砂,石膏,麦门冬,茯苓,人参
鸡苏叶,桔梗,黍粘子,紫苏,龙脑,瓜蒌根,荆芥
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,白芍,茯苓,白术,生姜
杏仁,白芥子,蛤壳,紫苏,青黛,龙延香,石膏
杏仁,白芥子,蛤壳,紫苏,回克,青黛,石膏
杏仁,白芥子,蛤壳,紫苏,瓜萎皮,青黛,桅子
硼砂,青礞石,万年干,石膏
桔梗,上广皮,细川连,淡条芩,京元参,香附,甘草
紫菀,杏仁,桔梗,款冬花,紫苏,五味子,甘草
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,乌梅,巴豆,丁香,胡椒
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,桔梗,党参,陈皮,前胡,黄芩,葛根
半夏,苏子,人参,茯苓,白术,干姜,甘草
半夏,人参,茯苓,白术,干姜,甘草
贝母,萝卜,鲜藕,秋梨,麦冬,鲜姜
半夏,香附,草乌,茴香,茯苓,细辛
莱菔,桔梗,陈皮,麦芽,果仁,制野军,神曲
贝母,桔梗,薄荷,元参,石膏,花粉,牛蒡
半夏,胆南星,紫菀,杏仁,款冬花,生乌,川椒
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,人参,茯苓,白术,甘草
半夏,杏仁,款冬花,苏子,黄芩,麻黄,厚朴
半夏,清炙草,广红皮,钩藤钩,明天麻,荆芥,菊花
贝母,杏仁,陈皮,石膏,牛蒡,麻黄,甘草
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,陈皮,茶叶,诃子
半夏,杏仁,巴豆,马兜铃
白萝卜,蜂蜜
远志,陈皮,罗参,莲肉,粉草,当归,茯苓
