半夏,紫苏,葶苈,桔梗,硼砂,陈皮,旋覆花
半夏,天南星,辰砂,陈皮,腻粉,人参,皂
半夏,紫菀,杏仁,葶苈,桔梗,陈皮,五味子
贝母,紫菀,杏仁,款冬花,葶苈,桔梗,清夏
半夏,杏仁,葶苈,款冬花,桔梗,陈皮,旋覆花
檀香,紫苏,硼砂,柿霜,薄荷,白葛粉,白冰糖
半夏,紫菀,杏仁,瓜蒌仁,葶苈,桔梗,远志
天南星,直僵蚕,真麝香,代赭石,赤金箔,净全蝎,节白附
半夏,陈皮,黑牵牛,京三棱,槟榔,青皮,木香
天南星,朱砂,僵蚕,蝉壳,蜈蚣,全蝎,铁粉
天竺黄,僵蚕,胆南星,金箔,朱砂,真麝香,片脑
半夏,天南星,金箔,龙脑,天麻,丁香,犀角
半夏,旋覆花,芍药,前胡,荆芥,麻黄,甘草
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,瓜蒌仁,葶苈,麦芽,桔梗
半夏,天南星,皂角,白矾
白芥子,僵蚕,透骨草,片姜黄,鸡血藤膏,菖蒲,苏梗
半夏,天麻,杭白菊,夏枯草,秦艽,牡蛎,白芍
海粉,瓜蒌仁,桔梗,陈皮,青黛,香附,竹沥
天南星,陈皮,天麻,当归,人参,川芎,肉桂
天南星,僵蚕,远志,天麻,白附子,菖蒲,全蝎
贝母,半夏,杏仁,紫苏,桔梗,陈皮,花粉
贝母,杏仁,紫苏,桔梗,陈皮,石膏,前胡
贝母,半夏,杏仁,紫苏,桔梗,陈皮,花粉
贝母,紫菀,小蓟,白芍,桑白皮,桃仁,丹皮
海藻,黄芪,党参,大青叶,板蓝根,柴胡,谷精草
贝母,薄荷,陈皮,麦门冬,柴胡,香附,当归
贝母,桔梗,远志,广皮,柴胡,银花,赤苓
贝母,半夏,紫菀,杏仁,款冬花,桔梗,远志
贝母,半夏,紫菀,杏仁,款冬花,紫苏,桔梗
贝母,半夏,紫菀,杏仁,陈皮,马兜铃,五味子
贝母,杏仁,陈皮,五味子,净金灯,米壳,甘草
贝母,半夏,紫菀,杏仁,紫苏,款冬花,桔梗
贝母,半夏,紫菀,杏仁,桔梗,瓜蒌皮,苏子
粳米,陈皮
半夏,莱菔,陈皮,神曲,香附,山楂,川芎
半夏,枳实,陈皮,白术
半夏,桔梗,黑山栀,陈皮,黄芩,茯苓,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄,甘草
天竺黄,僵蚕,胆南星,朱砂,钩藤,薄荷,羚羊
杏仁,米仁,麦门冬,百合,五味子,人参,知母
半夏,天南星,白芥子,杏仁,瓜蒌仁,麦芽,桔梗
贝母,杏仁,桔梗,石膏,片芩,麻黄,甘草
半夏,杏仁,1,小枳实,栝楼,石膏,广皮红
半夏,杏仁,桔梗,陈皮,桂枝,五味子,当归
半夏,广皮,生姜,人参,青皮,草果
半夏,桔梗,黄芩,人参,黄柏,大黄,黄连
半夏,桔梗,陈皮,柴胡,当归,白芍,黄芩
半夏,粉草,陈皮,香附,人参,茯苓,益智
半夏,党参,枳实,三七,干姜炭,桂枝,牡蛎
贝母,党参,麦冬,五味子,山药,熟地,沙参
紫菀,旋复花,桔梗,陈皮,嫩苏梗,香附,白前
半夏,陈皮,五味子,茯苓,细辛,人参,白术
半夏,竹茹,桔梗,枳实,陈皮,麦冬,柴胡
半夏,竹茹,枳实,陈皮,钩藤,生磁石,云苓
杏仁,远志,陈皮,琥珀粉,郁金,佩兰,羚羊粉
半夏,紫苏,陈皮,北梗,槟榔,茯苓,白术
远志,郁金,琥珀,菖蒲,茯苓,人参
半夏,紫苏,远志,茯神,茯苓,甘草,厚朴
半夏,天南星,枳实,陈皮,益智仁,苏梗,白豆蔻
半夏,紫苏,菖蒲,茯苓,木香,白芷,厚朴
杏仁,陈皮,刀豆子,藕节,代赭石,生瓦楞,玫瑰花
半夏,海藻,党参,陈皮,蛇莓,黄药子,蛇六谷
半夏,桔梗,枳实,香附,前胡,人参,茯苓
款冬花,杏仁,桔梗,麦冬,枇杷叶,前胡,黄芩
半夏,昆布,海藻,陈皮,白僵蚕,当归,白术
半夏,竹茹,桔梗,陈皮,当归,茯苓,地黄
半夏,陈皮,茅术,生姜,茯苓,甘草,枳壳
玄明粉,柿霜,硼砂,寒水石,白粉,薄荷,乌梅肉
胆南星,小枳实,羚羊,陈皮,苏叶子,蒌子,蒌皮
竹茹,焦三仙,干青果,陈皮
焦三仙,陈皮
胆南星,僵蚕,陈皮,郁金,天麻,菖蒲,白附子
贝母,海藻,漏芦,皂刺,柴胡,元参,香附
半夏,桂枝,白芍,黄芩,细辛,干姜,麻黄
半夏,天南星,桔梗,枳实,辰砂,栝楼,陈皮
贝母,半夏,陈皮,柴胡,当归,白芍,人参
贝母,半夏,天南星,枳实,栝楼,陈皮,香附
百部,玉竹,穿心莲,葎草,黄精,白及
半夏,半夏,紫苏,桔梗,陈皮,藿香,人参
杏仁,陈皮,薄荷,桂枝,苏叶,茯苓,麻黄
杏仁,葶苈,石膏,百合,天冬,桑白皮,木通
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,人参,甘草
款冬花,杏仁,麻黄,甘草
灵脂,川朴,陈皮,玄胡,生芍,榔片,巴豆
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,或加旋复花,白术
半夏,大腹子,京三棱,青皮,木香
生龙脑,朱砂,生犀角,石膏,麦门冬,川芎,茯苓
生龙脑,朱砂,生犀角,石膏,麦门冬,川芎,茯苓
鸡苏叶,紫苏,桔梗,龙脑,黍粘子,瓜蒌根,荆芥
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,茯苓,白芍,生姜,白术
杏仁,白芥子,紫苏,蛤壳,瓜蒌皮,石膏,青黛
杏仁,白芥子,紫苏,蛤壳,瓜蒌皮,回克,石膏
杏仁,白芥子,紫苏,蛤壳,瓜萎皮,桅子,青黛
青礞石,硼砂,万年干,石膏
桔梗,上广皮,细川连,淡条芩,京元参,香附,甘草
紫菀,款冬花,杏仁,紫苏,桔梗,五味子,桑白皮
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,丁香,巴豆,乌梅,胡椒
杏仁,葶苈,桔梗,马兜铃,陈皮,茯苓
半夏,党参,桔梗,陈皮,前胡,苏叶,黄芩
半夏,苏子,茯苓,人参,白术,干姜,甘草
半夏,茯苓,人参,白术,干姜,甘草
贝母,萝卜,麦冬,秋梨,鲜藕,鲜姜
半夏,草乌,茴香,香附,茯苓,细辛
莱菔,麦芽,桔梗,制野军,果仁,陈皮,藿香
贝母,桔梗,薄荷,石膏,牛蒡,元参,花粉
半夏,紫菀,胆南星,杏仁,款冬花,生白矾,牙皂肉
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,茯苓,人参,白术,甘草
半夏,杏仁,款冬花,苏子,黄芩,麻黄,桑白皮
半夏,广红皮,清炙草,钩藤钩,明天麻,茯神,川芎
贝母,杏仁,陈皮,石膏,牛蒡,麻黄,甘草
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,苏子,陈皮,茶叶
半夏,杏仁,巴豆,马兜铃
白萝卜,蜂蜜
远志,陈皮,罗参,粉草,莲肉,当归,茯神
贝母,天竺黄,胆南星,桔梗,钩藤,薄荷,陈皮
半夏,桔梗,大力子,陈皮,皂刺,重楼,当归
梅花脑,硼砂,五,牙硝,寒水石,麝香,甘草
梅花脑,硼砂,牙消,寒水石,麝香,甘草
贝母,枇杷叶,麦冬,天冬,莲子,枣仁,玄参
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,麦芽,枳实,陈皮,干生姜,神曲
半夏,天南星,枳实,法制消,礞石,黄芩
半夏,竹茹,旋复花,胆草,黄芩,黄连,枳壳
贝母,半夏,杏仁,瓜蒌仁,桔梗,陈皮,石膏
贝母,半夏,紫菀,杏仁,桔梗,百合,防己
紫菀,百部,白芥子,苏子,东白薇,剖麦冬,牛蒡
贝母,瓜蒌仁,桔梗,陈皮,麦门冬,黄芩,茯苓
半夏,陈皮,神曲,香附,川芎,茯苓,干姜
半夏,陈皮,神曲,香附,白芍,川芎,茯苓
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,青皮,草果,甘草,厚朴
杏仁,葶苈,石膏,地龙,牛蒡,麻黄,丹参
贝母,桔梗,前胡,花粉,黄芩,黄柏,大黄
贝母,天竺黄,紫菀,鱼腥草,杏仁,陈皮,板蓝根
贝母,鱼腥草,杏仁,桔梗,败酱草,薏仁,黄芩
昆布,海粉,牙皂,芦荟,当归,白芍,川芎
贝母,海藻,僵蚕,柴胡,夏枯草,当归,昆布海带
半夏,白芥子,桔梗,枳实,苏子,蝉衣,柴胡
檀香,薄荷,石膏,细辛,人参,荆芥,甘草
檀香,四,二,一了,薄荷,石膏,细辛
檀香,薄荷,石膏,细辛,人参,荆芥,甘草
半夏,瓜蒌仁,香附,黄芩,苍术,黄连
贝母,半夏,天南星,白芥子,枳实,玄明粉,陈皮
半夏,天南星,杏仁,枳实,陈皮,瓜蒌仁霜,黄芩
半夏,天南星,莱菔,瓜蒌仁,海粉,麦芽,苏子
半夏,天南星,杏仁,瓜蒌仁,枳实,陈皮,黄芩
贝母,贝母,紫菀,杏仁,蛤壳,白花蛇舌草,天冬
半夏,石膏,五味子,射干,细辛,麻黄,甘草
贝母,半夏,杏仁,瓜蒌仁,桔梗,枳实,麦门冬
半夏,昆布,海藻,白芥子,玄明粉,陈皮,青黛
贝母,郁金,荷叶蒂,砂仁壳,杵头糠,茯苓,沙参
蜈蚣,僵蚕,蝉衣,炙穿山甲,全虫,夜明砂
贝母,桔梗,陈皮,麦门冬,花粉,茯苓,地黄
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,黄连,白矾
半夏,天南星,天麻,川乌,川芎,干姜,甘草
半夏,天南星,天麻,川乌,川芎,干姜,甘草
天竺黄,党参,24克,24克,60克,60克,60克
天南星,黑附子,乌头,木香
天南星,白附子,辰砂,蛇含,麝香
半夏,柴胡,黑附子,当归,白芍,茯苓,人参
竹茹,桔梗,陈皮,苏子,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
远志,金箔,菖蒲,铁粉,茯苓,人参,丹砂
贝母,半夏,杏仁,桔梗,陈皮,苏梗,前胡
半夏,柴胡,白芍,茯苓,肉桂,白术,枳壳
贝母,胆南星,远志,辰砂,钩藤,陈皮,麦冬
半夏,陈皮,生姜,茯苓,甘草
贝母,半夏,杏仁,苏子,黄芩,山栀,桑白皮
半夏,僵蚕,辰砂,陈皮,天麻,槐角子,人参
天南星,朱砂,琥珀
胆南星,朱砂,远志,琥珀,陈皮,五味子,当归
半夏,远志,玫瑰花,佛手花,厚朴花,芍药,绿萼梅
昆布,海藻,海带,陈皮,海蛤粉,木香,螵蛸
半夏,山药,肉豆蔻,厚朴
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,乌梅肉,生姜,茯苓,人参,白术
半夏,紫苏,茯苓,厚朴
半夏,昆布,桔梗,粉葛,天南星片,莪术,连翘
檀香,苏合香,朱砂,僵蚕,琥珀,玉金,京丹参
檀香,苏合香,朱砂,僵蚕,琥珀,郁金,天麻
杏仁,麦蘖,神僸,萝卜子,青皮,三棱,干漆
莱菔,白芥子,山楂
半夏,天南星,金箔,朱砂,琥珀,白附子,白僵蚕
银箔,远志,金箔,白僵蚕,白附子,铁粉,茯神
半夏,丁香,诃子,生姜,草豆蔻,干姜
贝母,半夏,天南星,海藻,桔梗,枳实,陈皮
半夏,桔梗,陈皮,前胡,苏叶,人参,茯苓
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,麦芽,薤白,陈皮,苏梗,全瓜蒌,生姜
贝母,莱菔,杏仁,葶苈,苏子,陈皮,牛蒡
杏仁,葶苈,黑牵牛,防己,麻黄
海石,胆南星,栝楼,抚芎,青黛,香附,山栀
莱菔,杏仁,僵蛹,大力子,薄荷,夏枯草,连翘
贝母,海藻,生明矾,猫头骨牙爪1副,蓖麻子肉,乳香,没药
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂,藤黄
贝母,款冬花,杏仁,桔梗,薄荷,麦门冬,当归
