海粉,陈皮,瓜蒌仁,桔梗,丹参,香附,青黛
天南星,天麻,陈皮,人参,当归,肉桂,甘草
天南星,远志,天麻,菖蒲,僵蚕,白附子,全蝎
贝母,半夏,杏仁,桔梗,陈皮,紫苏,前胡
贝母,杏仁,桔梗,陈皮,紫苏,石膏,黄芩
贝母,半夏,杏仁,桔梗,陈皮,紫苏,前胡
贝母,紫菀,白芍,小蓟,桃仁,甘草,丹皮
海藻,黄芪,板蓝根,大青叶,党参,丹参,柴胡
贝母,陈皮,麦门冬,薄荷,柴胡,香附,当归
贝母,桔梗,远志,柴胡,广皮,银花,甘草
贝母,半夏,紫菀,款冬花,杏仁,桔梗,远志
贝母,半夏,紫菀,款冬花,杏仁,桔梗,栝楼
贝母,半夏,紫菀,杏仁,陈皮,马兜铃,五味子
贝母,杏仁,陈皮,五味子,净金灯,白矾,米壳
贝母,半夏,紫菀,款冬花,杏仁,桔梗,陈皮
贝母,半夏,紫菀,杏仁,桔梗,苏子,陈皮
粳米,陈皮
半夏,莱菔,陈皮,香附,神曲,山楂,连翘
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黄芩,黑山栀,甘草,茯苓
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄,甘草
天竺黄,胆南星,朱砂,天麻,钩藤,僵蚕,丹参
杏仁,五味子,麦门冬,米仁,百合,人参,知母
半夏,天南星,瓜蒌仁,杏仁,白芥子,桔梗,苏子
贝母,杏仁,桔梗,片芩,石膏,麻黄,甘草
半夏,杏仁,栝楼,小枳实,1,石膏,广皮红
半夏,杏仁,桔梗,陈皮,五味子,当归,桂枝
半夏,人参,草果,广皮,青皮,生姜
半夏,桔梗,人参,黄芩,黄柏,大黄,黄连
半夏,桔梗,陈皮,柴胡,黄芩,当归,白芍
半夏,粉草,陈皮,人参,香附,益智,茯苓
半夏,党参,三七,干姜炭,桂枝,枳实,牡蛎
贝母,党参,麦冬,五味子,山药,沙参,熟地
紫菀,旋复花,桔梗,陈皮,嫩苏梗,香附,白前
半夏,陈皮,五味子,人参,细辛,干姜,白术
半夏,竹茹,桔梗,陈皮,麦冬,柴胡,香附
半夏,竹茹,陈皮,钩藤,丹参,枳实,生磁石
杏仁,远志,陈皮,羚羊粉,琥珀粉,郁金,菖蒲
半夏,陈皮,紫苏,北梗,木香,白术,槟榔
半夏,远志,紫苏,茯神,甘草,茯苓,厚朴
半夏,天南星,陈皮,益智仁,神曲,枳实,白豆蔻
半夏,紫苏,菖蒲,木香,白芷,茯苓,厚朴
杏仁,陈皮,玫瑰花,代赭石,刀豆子,藕节,生瓦楞
半夏,海藻,陈皮,党参,黄药子,当归,夏枯草
半夏,桔梗,香附,人参,枳实,前胡,白术
款冬花,杏仁,桔梗,枇杷叶,麦冬,黄芩,前胡
半夏,海藻,昆布,陈皮,白僵蚕,当归,苦参
半夏,竹茹,桔梗,陈皮,当归,甘草,茯苓
半夏,陈皮,茅术,甘草,茯苓,生姜,枳壳
玄明粉,柿霜,硼砂,白粉,薄荷,乌梅肉,寒水石
胆南星,陈皮,小枳实,蒌子,苏叶子,蒌皮,羚羊
竹茹,焦三仙,陈皮,干青果
胆南星,陈皮,天麻,郁金,僵蚕,菖蒲,丹参
贝母,海藻,漏芦,元参,柴胡,香附,皂刺
半夏,黄芩,桂枝,白芍,麻黄,干姜,细辛
半夏,天南星,桔梗,栝楼,陈皮,辰砂,枳实
贝母,半夏,陈皮,柴胡,人参,当归,黄芩
贝母,半夏,天南星,栝楼,陈皮,香附,芍药
百部,穿心莲,玉竹,葎草,黄精,白及
半夏,半夏,桔梗,陈皮,紫苏,藿香,人参
杏仁,陈皮,薄荷,桂枝,苏叶,麻黄,甘草
葶苈,杏仁,天冬,石膏,百合,木通,大黄
半夏,醋2500毫升
款冬花,钟乳粉,川姜,人参,白术,甘草
款冬花,杏仁,麻黄,甘草
陈皮,川朴,生芍,榔片,灵脂,狗宝,香附
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,黑牵牛,枳实,白矾,木香
半夏,大腹子,京三棱,木香,青皮
生龙脑,生犀角,朱砂,麦门冬,石膏,人参,细辛
生龙脑,生犀角,朱砂,麦门冬,石膏,人参,细辛
鸡苏叶,桔梗,龙脑,黍粘子,紫苏,瓜蒌根,荆芥
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,白芍,白术,茯苓,生姜
白芥子,杏仁,蛤壳,紫苏,龙延香,石膏,瓜蒌皮
白芥子,杏仁,蛤壳,紫苏,回克,石膏,瓜蒌皮
白芥子,杏仁,蛤壳,紫苏,丹参,瓜萎皮,桅子
桔梗,细川连,京元参,淡条芩,上广皮,香附,甘草
紫菀,杏仁,款冬花,桔梗,紫苏,五味子,甘草
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,乌梅,巴豆,丁香,胡椒
葶苈,杏仁,桔梗,陈皮,马兜铃,茯苓
半夏,桔梗,陈皮,党参,黄芩,前胡,苏叶
半夏,苏子,人参,干姜,白术,甘草,茯苓
半夏,人参,干姜,白术,甘草,茯苓
贝母,萝卜,麦冬,鲜姜,鲜藕,秋梨
半夏,草乌,香附,茴香,细辛,茯苓
莱菔,桔梗,陈皮,麦芽,果仁,藿香,制野军
贝母,桔梗,薄荷,石膏,元参,牛蒡,花粉
半夏,紫菀,胆南星,款冬花,杏仁,牙皂肉,生乌
半夏,杏仁,陈皮,甘草,茯苓
半夏,陈皮,人参,白术,甘草,茯苓
半夏,款冬花,杏仁,苏子,黄芩,麻黄,甘草
半夏,茯神,清炙草,广红皮,钩藤钩,明天麻,菊花
贝母,杏仁,陈皮,石膏,牛蒡,麻黄,甘草
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,杏仁,白芥子,陈皮,苏子,茶叶
半夏,杏仁,马兜铃,巴豆
陈皮,远志,罗参,粉草,莲肉,茯神,当归
贝母,天竺黄,胆南星,桔梗,陈皮,钩藤,茯神
半夏,桔梗,陈皮,大力子,重楼,当归,皂刺
梅花脑,五,硼砂,牙硝,寒水石,麝香,甘草
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,天冬,麦冬,枇杷叶,莲子,枣仁,玄参
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,陈皮,麦芽,香附,神曲,枳实
半夏,天南星,黄芩,枳实,法制消,礞石
半夏,竹茹,旋复花,胆草,黄芩,黄连,枳壳
贝母,半夏,瓜蒌仁,杏仁,桔梗,陈皮,石膏
贝母,半夏,紫菀,杏仁,桔梗,百合,前胡
紫菀,百部,白芥子,苏子,剖麦冬,东白薇,牛蒡
贝母,瓜蒌仁,桔梗,陈皮,麦门冬,黄芩,甘草
半夏,陈皮,神曲,香附,干姜,甘草,茯苓
半夏,陈皮,神曲,香附,白芍,甘草,川芎
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,草果,甘草,青皮,厚朴
葶苈,杏仁,丹参,地龙,石膏,牛蒡,麻黄
贝母,桔梗,黄芩,前胡,花粉,黄柏,苦参
贝母,天竺黄,紫菀,鱼腥草,杏仁,陈皮,板蓝根
贝母,鱼腥草,杏仁,桔梗,败酱草,薏仁,黄芩
海粉,昆布,牙皂,当归,芦荟,白芍,甘草
贝母,海藻,僵蚕,柴胡,当归,昆布海带,夏枯草
半夏,白芥子,桔梗,苏子,蝉衣,柴胡,当归
檀香,薄荷,石膏,人参,荆芥,细辛,甘草
檀香,四,二,一了,薄荷,石膏,人参
檀香,薄荷,石膏,人参,荆芥,细辛,甘草
半夏,瓜蒌仁,黄芩,香附,苍术,黄连
贝母,半夏,天南星,白芥子,陈皮,玄明粉,青黛
半夏,天南星,杏仁,陈皮,枳实,黄芩,瓜蒌仁霜
半夏,天南星,莱菔,瓜蒌仁,海粉,苏子,陈皮
半夏,天南星,瓜蒌仁,杏仁,陈皮,枳实,黄芩
贝母,贝母,紫菀,杏仁,蛤壳,天冬,南沙参
半夏,五味子,石膏,射干,麻黄,细辛,甘草
贝母,半夏,瓜蒌仁,杏仁,桔梗,五味子,麦门冬
半夏,海藻,昆布,白芥子,陈皮,玄明粉,香附
贝母,荷叶蒂,丹参,郁金,砂仁壳,杵头糠,茯苓
蜈蚣,蝉衣,炙穿山甲,全虫,僵蚕,夜明砂
贝母,桔梗,陈皮,麦门冬,花粉,甘草,茯苓
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,甘草,黄连
半夏,天南星,陈皮,黄芩,白矾,黄连
半夏,天南星,天麻,川乌,甘草,干姜,川芎
半夏,天南星,天麻,川乌,甘草,干姜,川芎
天竺黄,党参,60克,60克,60克,60克,60克
麦芽,党参,丹参,女贞子,香附,当归,白芍
天南星,黑附子,乌头,木香
天南星,白附子,辰砂,蛇含,麝香
半夏,柴胡,人参,黑附子,当归,茱萸,白芍
竹茹,桔梗,陈皮,苏子,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
金箔,远志,菖蒲,铁粉,丹砂,人参,茯苓
贝母,半夏,杏仁,桔梗,陈皮,黄芩,前胡
半夏,柴胡,肉桂,白芍,白术,茯苓,枳壳
贝母,胆南星,远志,钩藤,陈皮,辰砂,天冬
半夏,陈皮,甘草,茯苓,生姜
贝母,半夏,杏仁,苏子,黄芩,山栀,桑白皮
半夏,陈皮,天麻,辰砂,僵蚕,槐角子,人参
天南星,朱砂,琥珀
胆南星,朱砂,远志,陈皮,五味子,琥珀,人参
半夏,远志,玫瑰花,绿萼梅,佛手花,厚朴花,芍药
海藻,昆布,海带,陈皮,海蛤粉,木香,螵蛸
半夏,山药,厚朴,肉豆蔻
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,乌梅肉,人参,草果,白术,甘草
半夏,紫苏,茯苓,厚朴
半夏,昆布,桔梗,天南星片,黄芩,莪术,升麻
檀香,苏合香,朱砂,天麻,僵蚕,海沉香,琥珀
檀香,苏合香,朱砂,天麻,僵蚕,藿香,郁金
杏仁,神僸,麦蘖,萝卜子,三棱,青皮,干漆
莱菔,白芥子,山楂
半夏,天南星,朱砂,金箔,白附子,琥珀,白僵蚕
银箔,远志,白僵蚕,金箔,丹参,丹参,白附子
半夏,诃子,丁香,草豆蔻,干姜,生姜
贝母,半夏,天南星,海藻,桔梗,陈皮,菖蒲
半夏,桔梗,陈皮,人参,前胡,苏叶,木香
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,陈皮,麦芽,薤白,全瓜蒌,厚朴,苏梗
贝母,莱菔,杏仁,葶苈,陈皮,苏子,牛蒡
葶苈,杏仁,黑牵牛,麻黄,防己
胆南星,海石,栝楼,抚芎,香附,青黛,山栀
莱菔,杏仁,僵蛹,大力子,薄荷,夏枯草,荆芥
贝母,海藻,没药,蜣螂虫,猫头骨牙爪1副,蓖麻子肉,乳香
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂,藤黄
贝母,款冬花,杏仁,桔梗,薄荷,麦门冬,当归
红芽大戟,文蛤,朱砂,山茨菇,千金子,麝香,雄黄
半夏,天麻,老生姜,白术,甘草,茯苓
百部,远志,桔梗,五味子,丹参,菖蒲,麦门冬
天南星
蜈蚣,鸡血藤,地龙,当归,赤芍,川芎,羌活
半夏,竹茹,陈皮,甘草,茯苓,枳壳
半夏,竹茹,陈皮,枳实,甘草,生姜
半夏,远志,桂心,麦门冬,人参,黄芩,萆薢
半夏,陈皮,干姜,白术
半夏,桔梗,二十,陈皮,芍药,当归,肉桂
