芡实,白芥子,诃黎勒,白术,益智
瓜蒌仁,甘草,前胡,陈皮,枳壳
地黄,杏仁,前胡,茯苓,百合
白芥子,百部,甘草,东白薇,剖麦冬
栀子,瓜蒌仁,陈皮,茯苓,知母
干姜,黄连,川芎,神曲,栀子
白芍,黄连,川芎,枳壳,栀子
木通,胆南星,贝母,陈皮,海石
草果,甘草,良姜,乌梅,厚朴
羚羊角,地龙,杏仁,牛蒡,葶苈
黄柏,贝母,花粉,苦参,栀子
芦根,白前,甘草,黄芩,陈皮
败酱草,薏仁,甘草,黄芩,茯苓
海粉,白芍,甘草,川芎,黄连
海藻,柴胡,贝母,当归,栀子
柴胡,白芍,白芥子,当归,枳实
甘草,石膏,荆芥,檀香,防风
四,防风,檀香,石膏,羌活
甘草,石膏,荆芥,檀香,防风
瓜蒌仁,苍术,黄芩,黄连,香附
白芥子,礞石,陈皮,连翘,茯苓
黄芩,枳实,茯苓,瓜蒌仁霜,天南星
陈皮,海粉,瓜蒌仁,山楂,白矾
瓜蒌仁,黄芩,枳实,茯苓,杏仁
地骨皮,蛤壳,天冬,石斛,杏仁
甘草,射干,麻黄,石膏,五味子
瓜蒌仁,泽泻,茯苓,地黄,枳实
黄连,白芥子,昆布,莪术,海藻
沙参,茯苓,荷叶蒂,贝母,杵头糠
蜈蚣,全虫,炙穿山甲,僵蚕,夜明砂
陈皮,地黄,茯苓,花粉,麦门冬
五倍子,诃子,甘草,五味子
紫河车,百药煎,粉草,桔梗,香附
黄连,黄芩,甘草,陈皮,天南星
白矾,黄连,陈皮,黄芩,天南星
干姜,川乌,天南星,川芎,甘草
干姜,川乌,天南星,川芎,甘草
龟版,沉香,山甲,寄生,党参
黑附子,木香,天南星,乌头
白附子,天南星,麝香,辰砂,蛇含
陈皮,蛇胆汁
当归,白芍,柴胡,茯苓,黑附子
竹茹,苏子,甘草,桔梗,陈皮
红芽大戟,麝香,文蛤,续随子,山慈菇
金箔,菖蒲,丹砂,羚羊角,茯苓
干葛,陈皮,枳壳,黄芩,甘草
柴胡,白芍,白术,茯苓,枳壳
钩藤,天冬,连翘,菖蒲,元参
茯苓,甘草,生姜,陈皮,半夏
香墨,青黛,巴豆,腻粉,黑铅
黄芩,黄连,苏子,山栀,贝母
白矾,人参,荆芥,陈皮,辰砂
朱砂,琥珀,天南星
当归,白芍,黄耆,白术,胆南星
芍药,玫瑰花,半夏,茯苓,甘草
螵蛸,海带,海蛤粉,昆布,海藻
山药,厚朴,肉豆蔻,半夏
黄连,陈皮,吴萸,桃仁,半夏
草果,乌梅肉,白术,茯苓,人参
茯苓,厚朴,紫苏,半夏
升麻,黄连,黄芩,天南星片,龙胆草
苏合香,藿香,琥珀,檀香,乳香
苏合香,藿香,琥珀,莲子心,金礞石
杏仁,干漆,萝卜子,神僸,麦蘖
白芥子,山楂,莱菔
金箔,川乌,白附子,琥珀,白僵蚕
银箔,升麻,金箔,马牙消,白附子
干姜,草豆蔻,生姜,诃子,丁香
