砂仁,木香,藕粉白糖
砂仁,白砂糖,香橼
白术,砂仁,木香,枳实
白术,砂仁,木香,枳实
党参,白术,半夏,甘草,木香
白术,甘草,茯苓,当归,芍药
白术,薄荷,茯苓,当归,白芍
白术,薄荷,茯苓,当归,白芍
白术,丹皮,苍术,茯苓,僵虫
五味子,菟丝子,茯苓,干莲肉
白术,胡椒,良姜,甘草,红豆
白术,干姜,茯苓,枳实
神曲,苍术,黄连,甘草,茯苓
山楂,槟榔,谷芽,积壳等份
白术,神曲,砂仁,青皮,半夏
神曲,干姜,麦芽,炒乌梅肉
白术,黑附子,萝卜子,甘草,人参
白术,萝卜子,沉香,木香,苏子
白术,黑附子,萝卜子,甘草,鳖甲
白术,神曲,九肋鳖甲,杭青皮,京三棱
莪术,生黄耆,贝母,血竭,三棱
白术,陈皮,甘草,黄连,干生姜
神曲,苍术,青皮,黄连,莱菔
神曲,干姜,草果,陈皮,甘草
神曲,草果仁,白豆蔻,丁香,陈皮
白术,花粉,青蒿,茯苓,人参
山药,小米白糖
丁香,白胡椒,茱萸,肉桂
白术,神曲,山揸,炒麦芽,砂仁
苍术,陈皮,六一散,炒麦芽,泽泻
白藓皮,何首乌,枸杞,地肤子,桂枝
饴糖
白术,扁豆,人参,甘草,藿香
薏仁
粳米,生姜葱白,细盐,羊骨左右
嫩肥羊肉,杏仁,糯米,曲,木香
山药,苍术,缩砂,青皮,良姜
陈皮,青皮,丁香,诃子,甘草
白术,陈皮,鹿角胶,甘草,当归
山药,青皮,陈皮,丁香,诃子
党参,白术,丹参,山药,黄芪
党参,龙胆草,阿胶,玉米须,桃仁
党参,白术,泽兰,山楂,苍术
党参,白术,竹茹,甘草,山楂
白术,干姜,升麻,苍术,陈皮
白术,黄芪,鬼箭羽,桂枝,生姜
苍术,何首乌,地骨皮,地黄,茯苓
砂仁,地榆,甘草,甘草
白术,甘草,当归,钩藤钩,柴胡
白术,丹皮,姜炭L,黑芥穗,香附
白术,陈皮,人参,甘草,茯苓
党参,桂圆肉,猫肉
藿香,白豆蔻,甘草,丁香,缩砂仁
砂仁,生姜,白果仁,藿香,丁香
扁豆,白术,山药,甘草,地黄
白术,陈皮,槟榔,当归,皂矾
白术,神曲,人参,苍术,甘草
山药,薏仁,建莲肉,桂圆肉,麦冬
芡实,山药,薏仁,川椒,茯苓
仙灵脾,桂枝,甘草,方1黄芪,鹿衔草
扁豆,白术,神曲,芡实,莲肉
山药,扁豆,莲肉,甘草,陈皮
白术3巴豆,槟榔,白豆蔻,陈皮,沉香
白术,猪苓,茯苓
葱,雄猪肚,粳米,椒,姜
白术,陈皮,生姜,甘草,厚朴
白术,枳实
白术,枳实
白术,半夏,茯苓,蓬莪茂,枳实
白术,苍术,半夏,益智仁,芍药
白术,肉豆蔻,沉香,陈皮,丁香
于术,生黄耆,知母,野台参,威灵仙
5条,于术,当归,人参,30克
白术,陈皮,乳香,当归,厚朴
神曲,干姜,大麦芽,陈皮,草豆蔻
白术,干姜,砂仁,黄连,陈皮
山药,扁豆,莲肉,老米,人参
神曲,干姜,苍术,良姜,乌梅肉
槐皮,苦楝皮,雄黄
