水牛角浓缩粉,白芍,黄芪,郁金,川芎
天南星,半夏,黄连,栝楼,辰砂
贝母,黄耆,半夏,白芍,鳖甲
天南星,山楂,半夏,栝楼,芍药
穿心莲,百部,白及,玉竹,葎草
朱砂,倭硫
紫苏,半夏,半夏,人参,藿香
杏仁,陈皮,桂枝,苏叶,桑白皮
杏仁,葶苈,天冬,木通,大黄
陈皮,枸杞,槐角子,侧柏叶
半夏,醋2500毫升
款冬花,白术,钟乳粉,川姜,人参
款冬花,杏仁,麻黄,甘草
灵脂,陈皮,巴豆,芦荟,川朴
半夏,桂,桔梗,枳壳
厚朴,生老姜
天南星,半夏,大黄,白术,葶苈
半夏,木香,青皮,京三棱,大腹子
生龙脑,朱砂,川芎,人参,麦门冬
生龙脑,朱砂,川芎,人参,麦门冬
桔梗,龙脑,鸡苏叶,荆芥,紫苏
天南星,半夏,白矾,草龙脑
半夏,白术,白芍,附片,龙骨
白芥子,杏仁,瓜蒌皮,蛤壳,紫苏
白芥子,杏仁,蛤壳,瓜蒌皮,紫苏
杏仁,白芥子,瓜萎皮,蛤壳,丹参
青礞石,万年干,硼砂,石膏
桔梗,上广皮,香附,细川连,京元参
川芎,橘叶,栝楼,连翘,青皮
紫菀,款冬花,紫苏,桔梗,桑白皮
粳米,新鲜萝卜约
新鲜白萝卜
贝母,莱菔,白果仁,白糖,豆腐皮
粳米,莱菔
莱菔
贝母,款冬花,肉桂,鹅管石,甘草
巴豆,缩砂仁,丁香,乌梅,胡椒
醋,绿茶
明矾,丹参
葶苈,陈皮,杏仁,桔梗,马兜铃
半夏,葛根,桔梗,陈皮,党参
半夏,苏子,白术,人参,干姜
半夏,白术,人参,茯苓,干姜
贝母,萝卜,麦冬,秋梨,鲜藕
半夏,草乌,茴香,细辛,香附
制野军,槟榔,莱菔,桔梗,果仁
贝母,黄连,大黄,元参,牛蒡
紫菀,半夏,款冬花,川椒,杏仁
半夏,陈皮,杏仁,茯苓,甘草
半夏,白术,人参,陈皮,茯苓
半夏,款冬花,黄芩,苏子,杏仁
半夏,川芎,菊花,明天麻,广红皮
陈皮,贝母,杏仁,牛蒡,麻黄
半夏,麻黄,杏仁,豆腐1小块,甘草
半夏,苏子,杏仁,莱菔,陈皮
赤芍,陈皮,麦门冬,人参,桔梗
半夏,巴豆,杏仁,马兜铃
蜂蜜,白萝卜
贝母,钩藤,天竺黄,赤芍,陈皮
半夏,陈皮,当归,熟地,重楼
梅花脑,五,硼砂,麝香,寒水石
梅花脑,麝香,寒水石,硼砂,牙消
贝母,莲子,麦冬,天冬,枇杷叶
粳米,枇杷叶,冰糖
粳米,枇杷叶,冰糖
半夏,黄连,川芎,山楂,莱菔
半夏,天南星,黄芩,礞石,法制消
远志,麦冬,黄连,菖蒲,花粉
半夏,旋复花,竹茹,黄芩,黄连
半夏,贝母,瓜蒌仁,陈皮,杏仁
紫菀,半夏,贝母,百合,桔梗
