白术,熟地,白芥子,薏仁,芡实
瓜蒌仁,陈皮,杏仁,桔梗,贝母
地黄,紫菀,桔梗,杏仁,防己
紫菀,玄参,苏子,剖麦冬,百部
瓜蒌仁,黄芩,桔梗,麦门冬,栀子
黄连,干姜,神曲,苍术,半夏
黄连,苍术,神曲,香附,陈皮
海石,木通,陈皮,贝母,胆南星
草果,厚朴,青皮,良姜,半夏
葶苈,羚羊角,麻黄,地龙,杏仁
桔梗,知母,黄柏,贝母,栀子
紫菀,贝母,陈皮,芦根,天竺黄
白术,贝母,薏仁,杏仁,茯苓
海粉,黄连,昆布,青皮,白芍
海藻,栀子,贝母,连翘,柴胡
栀子,当归,蝉衣,白芍,白芥子
檀香,人参,薄荷,荆芥,细辛
檀香,人参,薄荷,二,荆芥
檀香,人参,薄荷,荆芥,细辛
瓜蒌仁,黄连,苍术,香附,黄芩
连翘,白术,玄明粉,天南星,黄连
天南星,陈皮,瓜蒌仁霜,黄芩,茯苓
瓜蒌仁,海粉,白术,黄连,莱菔
天南星,瓜蒌仁,陈皮,黄芩,茯苓
地骨皮,蛤壳,南沙参,北沙参,全瓜蒌
麻黄,石膏,五味子,甘草,细辛
瓜蒌仁,地黄,杏仁,黄连,半夏
昆布,黄连,陈皮,海藻,香附
沙参,贝母,丹参,茯苓,荷叶蒂
全虫,夜明砂,炙穿山甲,蜈蚣,蝉衣
地黄,桔梗,知母,陈皮,麦门冬
诃子,五味子,五倍子,甘草
百药煎,香附,紫河车,粉草,桔梗
天南星,黄连,陈皮,黄芩,半夏
天南星,黄连,陈皮,黄芩,半夏
天南星,干姜,天麻,半夏,川芎
天南星,干姜,天麻,半夏,川芎
天竺黄,75克,75克,75克,白芷
香附,丹参,当归,白芍,女贞子
天南星,木香,乌头,黑附子
辰砂,白附子,天南星,麝香,蛇含
陈皮,蛇胆汁
枣仁,半夏,黄连,茱萸,栀子
桔梗,陈皮,苏子,竹茹,甘草
文蛤,续随子,山慈菇,麝香,红芽大戟
金箔,铁粉,茯苓,菖蒲,人参
黄芩,茯苓,陈皮,苏梗,羌活
白术,柴胡,肉桂,枳壳,半夏
连翘,辰砂,天冬,钩藤,元参
茯苓,陈皮,生姜,半夏,甘草
腻粉,干蝎,铅霜,丹参,巴豆
黄连,贝母,山栀,杏仁,桑白皮
槐角子,天麻,辰砂,人参,陈皮
琥珀,天南星,朱砂
白术,琥珀,黄耆,朱砂,陈皮
芍药,茯苓,玫瑰花,半夏,绿萼梅
昆布,螵蛸,海带,木香,陈皮
厚朴,肉豆蔻,半夏,山药
黄连,桃仁,陈皮,半夏,吴萸
白术,陈皮,草果,枣仁,半夏
厚朴,紫苏,茯苓,半夏
昆布,连翘,黄连,半夏,莪术
檀香,琥珀,建莲心,海沉香,大赤金箔
檀香,苏合香,琥珀,金礞石,香附
麦蘖,青皮,杏仁,神僸,三棱
山楂,莱菔,白芥子
真铁粉,琥珀,金箔,白僵蚕,天南星
金箔,银箔,铁粉,白僵蚕,白附子
诃子,干姜,半夏,丁香,生姜
天南星,海藻,菖蒲,桔梗,陈皮
苏叶,枳壳,陈皮,桔梗,葛根
天南星,直僵蚕,麝香,猪牙皂角,蜈蚣
厚朴,全瓜蒌,苏梗,枳壳,陈皮
枣仁,杏仁,贝母,陈皮,莱菔
葶苈,麻黄,黑牵牛,杏仁,防己
海石,香附,苍术,抚芎,山栀
杏仁,连翘,莱菔,僵蛹,荆芥
蜣螂虫,生明矾,磁石,贝母,海藻
天南星,制甘遂,半夏,麻黄,红芽大戟
阿胶珠,黄连,杏仁,地黄,白蜜
