水牛角浓缩粉,郁金,羚羊角,黄芪,珍珠
半夏,山楂,莱菔,香附,陈皮
半夏,白术,陈皮,枳实
半夏,黄连,桔梗,茯苓,陈皮
紫菀,四季青,鱼腥草,前胡,金荞麦
朱砂,天竺黄,茯苓,胆南星,僵蚕
杏仁,五味子,麦门冬,百合,人参
半夏,瓜蒌仁,白芥子,天南星,山楂
贝母,石膏,桔梗,片芩,杏仁
半夏,栝楼,广皮红,杏仁,1
半夏,桂枝,陈皮,桔梗,杏仁
半夏,广皮,草果,青皮,人参
半夏,黄柏,桔梗,黄连,人参
半夏,陈皮,黄芩,桔梗,当归
半夏,茯苓,香附,陈皮,人参
半夏,三七,桂枝,枳实,白术
贝母,熟地,五味子,山药,沙参
桔梗,白前,紫菀,旋复花,嫩苏梗
半夏,五味子,人参,甘草,陈皮
半夏,茯苓,竹茹,桔梗,枳实
半夏,竹茹,陈皮,葛根,枳实
杏仁,佩兰,茵陈,陈皮,琥珀粉
半夏,北梗,辣桂,陈皮,槟榔
茯苓,远志,琥珀,人参,郁金
半夏,远志,茯苓,甘草,厚朴
半夏,苏梗,益智仁,天南星,槟榔
半夏,白芷,木香,茯苓,厚朴
杏仁,玫瑰花,陈皮,生瓦楞,藕节
半夏,当归,海藻,夏枯草,陈皮
半夏,桔梗,香附,茯苓,前胡
前胡,杏仁,桑叶,桔梗,银花
半夏,黄连,海藻,陈皮,苦参
半夏,竹茹,桔梗,黄连,地黄
半夏,茅术,茯苓,陈皮,生姜
玄明粉,硼砂,寒水石,白粉,柿霜
小枳实,胆南星,陈皮,羚羊,苏叶子
竹茹,干青果,焦三仙,陈皮
炙桑白皮,三仙饮
陈皮,焦三仙
贝母,皂刺,元参,海藻,漏芦
半夏,栀子,白芍,桂枝,麻黄
半夏,天南星,栝楼,栀子,辰砂
贝母,半夏,陈皮,黄芩,白芍
贝母,天南星,半夏,山楂,栝楼
穿心莲,百部,葎草,玉竹,白及
朱砂,倭硫
用生姜,半夏,半夏,2味和作一处,和粗皮捣令细
杏仁,陈皮,桂枝,茯苓,桑白皮
杏仁,天冬,石膏,大黄,木通
陈皮,枸杞,侧柏叶,槐角子
半夏,醋2500毫升
人参,款冬花,钟乳粉,甘草,川姜
杏仁,甘草,麻黄,款冬花
川朴,生芍,神曲,灵脂,陈皮
半夏,桔梗,桂,枳壳
生老姜,厚朴
半夏,天南星,黑牵牛,大黄,葶苈
半夏,京三棱,大腹子,青皮,木香
朱砂,生犀角,石膏,甘草,麦门冬
朱砂,生犀角,石膏,甘草,麦门冬
龙脑,桔梗,黍粘子,鸡苏叶,甘草
半夏,天南星,草龙脑,白矾
半夏,龙骨,白术,生姜,白芍
杏仁,白芥子,蛤壳,石膏,栀子
杏仁,白芥子,蛤壳,石膏,栀子
杏仁,白芥子,蛤壳,牛蒡,石膏
石膏,青礞石,硼砂,万年干
桔梗,香附,甘草,细川连,京元参
栝楼,连翘,橘叶,桃仁,皂角刺
杏仁,五味子,紫菀,桔梗,款冬花
新鲜萝卜约,粳米
新鲜白萝卜
贝母,冰糖,白糖,莱菔,白果仁
莱菔,粳米
莱菔
贝母,甘草,鹅管石,肉桂,款冬花
巴豆,缩砂仁,胡椒,乌梅,丁香
绿茶,醋
明矾,丹参
杏仁,桔梗,葶苈,茯苓,陈皮
半夏,桔梗,黄芩,葛根,陈皮
半夏,苏子,茯苓,甘草,人参
半夏,人参,茯苓,甘草,白术
贝母,萝卜,鲜藕,鲜姜,秋梨
半夏,茯苓,草乌,香附,茴香
莱菔,制野军,山楂,麦芽,果仁
贝母,元参,大黄,山栀,黄连
胆南星,半夏,紫菀,生白矾,牙皂肉
半夏,茯苓,甘草,陈皮,杏仁
半夏,人参,茯苓,陈皮,甘草
半夏,苏子,桑白皮,杏仁,甘草
半夏,川芎,明天麻,清炙草,荆芥
贝母,石膏,杏仁,陈皮,牛蒡
半夏,麻黄,杏仁,甘草,豆腐1小块
白芥子,半夏,莱菔,苏子,杏仁
半夏,巴豆,杏仁,马兜铃
白萝卜,蜂蜜
陈皮,罗参,枣仁,远志,莲肉
贝母,天竺黄,赤芍,钩藤,胆南星
半夏,皂刺,桔梗,熟地,陈皮
硼砂,寒水石,甘草,梅花脑,五
寒水石,硼砂,甘草,梅花脑,牙消
贝母,天冬,玄参,枣仁,枇杷叶
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,山楂,莱菔,麦芽,干生姜
半夏,天南星,黄芩,礞石,枳实
黄连,远志,麦冬,茯神,丹参
半夏,胆草,黄连,竹茹,旋复花
瓜蒌仁,贝母,半夏,桔梗,前胡
贝母,紫菀,半夏,前胡,桔梗
白芥子,紫菀,百部,甘草,牛蒡
贝母,瓜蒌仁,桔梗,栀子,麦门冬
半夏,苍术,陈皮,黄连,茯苓
半夏,苍术,陈皮,黄连,白芍
贝母,木通,陈皮,海石,胆南星
半夏,青皮,草果,良姜,甘草
杏仁,丹参,石膏,地龙,葶苈
贝母,桔梗,苦参,黄柏,栀子
贝母,元参,天竺黄,板蓝根,紫菀
贝母,桔梗,鱼腥草,杏仁,败酱草
海粉,昆布,白芍,牙皂,黄连
贝母,昆布海带,海藻,僵蚕,栀子
半夏,白芥子,前胡,苏子,桔梗
石膏,甘草,薄荷,檀香,防风
四,甘草,薄荷,一了,檀香
石膏,甘草,薄荷,檀香,防风
半夏,瓜蒌仁,苍术,黄连,香附
半夏,贝母,白芥子,天南星,大黄
半夏,天南星,茯苓,陈皮,黄芩
瓜蒌仁,半夏,山楂,天南星,莱菔
瓜蒌仁,半夏,天南星,陈皮,杏仁
天冬,贝母,贝母,前胡,杏仁
半夏,石膏,五味子,甘草,麻黄
瓜蒌仁,贝母,半夏,桔梗,五味子
半夏,白芥子,黄连,昆布,海藻
贝母,茯苓,丹参,郁金,杵头糠
僵蚕,蝉衣,炙穿山甲,全虫,蜈蚣
贝母,地黄,陈皮,桔梗,茯苓
五味子,甘草,五倍子,诃子
桔梗,百药煎,香附,紫河车,粉草
黄连,半夏,天南星,陈皮,黄芩
黄连,半夏,天南星,陈皮,黄芩
半夏,天南星,天麻,甘草,川芎
半夏,天南星,天麻,甘草,川芎
萆薢,天竺黄,寄生,大黄,山甲
女贞子,麦芽,白芍,山药,何首乌
天南星,黑附子,木香,乌头
天南星,白附子,辰砂,蛇含,麝香
蛇胆汁,陈皮
半夏,黄连,人参,栀子,黑附子
桔梗,苏子,陈皮,竹茹,甘草
文蛤,续随子,红芽大戟,山慈菇,麝香
金箔,远志,丹砂,茯苓,人参
贝母,半夏,苏梗,桔梗,前胡
半夏,白术,肉桂,茯苓,白芍
贝母,天冬,胆南星,元参,茯苓
半夏,茯苓,生姜,陈皮,甘草
香墨,巴豆,干蝎,铅霜,黑铅
贝母,半夏,苏子,黄连,山栀
半夏,天麻,僵蚕,白矾,陈皮
天南星,琥珀,朱砂
胆南星,远志,陈皮,五味子,黄耆
半夏,玫瑰花,绿萼梅,远志,茯苓
海藻,螵蛸,海带,陈皮,木香
半夏,肉豆蔻,山药,厚朴
半夏,黄连,桃仁,陈皮,吴萸
半夏,茯苓,人参,陈皮,草果
半夏,茯苓,厚朴,紫苏
半夏,黄连,昆布,桔梗,连翘
朱砂,麝香,天麻,僵蚕,琥珀
朱砂,莲子心,天麻,僵蚕,沉香
杏仁,干漆,神僸,青皮,萝卜子
莱菔,白芥子,山楂
白附子,天南星,半夏,金箔,全蝎
金箔,白附子,远志,茯神,白僵蚕
半夏,干姜,生姜,诃子,丁香
半夏,贝母,当归,茯苓,天南星
半夏,人参,桔梗,前胡,陈皮
天南星,直僵蚕,蜈蚣,猪牙皂角,麝香
麦芽,半夏,苏梗,薤白,陈皮
贝母,苏子,陈皮,枣仁,莱菔
杏仁,防己,黑牵牛,葶苈,麻黄
胆南星,山栀,苍术,栝楼,香附
杏仁,夏枯草,大力子,莱菔,荆芥
贝母,海藻,磁石,蓖麻子肉,生明矾
半夏,白芥子,天南星,红芽大戟,朴消
贝母,黄连,地黄,桔梗,麝香
山茨菇,千金子,文蛤,红芽大戟,朱砂
半夏,天麻,甘草,茯苓,白术
桔梗,百部,五味子,远志,茯神
天南星
苇茎,瓜瓣,桃仁,薏仁
半夏,竹茹,茯苓,甘草,陈皮
半夏,竹茹,甘草,陈皮,枳实
半夏,陈皮,白术,干姜
半夏,二十,陈皮,桔梗,芍药
半夏,陈皮,苍术,芍药,桔梗
韭汁,生姜汁,藕汁,牛乳60毫升,梨汁10毫升
半夏,砂仁,茯苓,白术,人参
半夏,茯苓,西砂仁,白术,木香
半夏,皮硝,栝楼,小川连,小枳实
天南星,贝母,半夏,当归,山慈姑
半夏,天南星,辛夷,黄柏,川芎
贝母,玄参,桔梗,夜合花,杏仁
青连翘,生地,生姜汁2滴,丹皮,桃仁
半夏,苍术,麦芽,藿香,山植
蝉壳,厚朴,茯苓,陈皮,白僵蚕
半夏,干葛,桔梗,前胡,杏仁
白芥子,山茨菇,桔梗,夏枯草,元参
半夏,海藻,白芷,昆布,通草
贝母,半夏,海浮石,夏枯草,元参
夏枯草,莪术,海藻,生地,炒山甲
海藻,昆布,海带,螵蛸,海红蛤
海藻,海带,香附,三棱,螵蛸
半夏,生马钱子,皂角,生山甲,甘草
贝母,元参,牡蛎
贝母,玄参,乳香,血竭,没药
皮硝,桔梗,栝楼,杏仁,连翘
半夏,白芥子,茯苓,陈皮,青皮
海藻,元参,红娘子,甘草,牡蛎
半夏,元参,栝楼,僵蚕,桔梗
半夏,甘草,茯苓
五味子,麦芽,山楂
半夏,黑附子,陈皮,人参,神曲
半夏,桔梗,生姜,茯苓,前胡
半夏,桂心,紫菀,大腹皮,杏仁
杏仁,桑白皮,人参,桃仁
杏仁,萝卜子
桔梗,杏仁,百部,远志,甘草
石膏,防风,僵蚕,旋复花
半夏,旋复花,人参,枣仁,代赭石
半夏,草果仁,甘草,缩砂仁,白豆蔻
半夏,沉香,陈皮,黄连,桔梗
竹茹,姜汁3茶匙,陈皮,柿蒂
半夏,黄连,栝楼
半夏,人参,胆南星,真珠,茯苓
水牛角浓缩粉,贝母,半夏,天南星,陈皮
贝母,山楂,白芥子,天南星,白附子
朱砂,牙皂,全蝎,巴豆,丹参
天竺黄,天南星,僵蚕,山楂,麦芽
贝母,黄连,大黄,丹参,炒二丑
贝母,元参,槟榔,胆南星,桔梗
黄连,天竺黄,半夏,贝母,胆南星
贝母,半夏,天竺黄,天南星,大黄
槟榔,牵牛,甘草,陈皮
半夏,佩兰,天竺黄,黄连,栀子
僵蚕,新鲜大力子根,梗,川附,香橼
白芥子,姜黄,乳没,川芎,熟地
半夏,莱菔,山楂,苍术,陈皮
天南星,半夏,芫花,莪术
香梗芋艿,不拘多少
贝母,百部,甘草,白及,羊胆干膏
贝母,天冬,五味子,地骨皮,茯苓
胆南星,远志,枣仁,黄耆,黄连
玉竹,竹茹,钩藤,白芍,女贞子
天南星,防风
半夏,寒水石,三,白矾
贝母,桑白皮,半夏,百合,紫菀
半夏,天南星,僵蚕,沉香,陈皮
半夏,天南星,金箔,僵蚕,黄连
天南星,白附子,半夏,僵蚕,蜈蚣
天竺黄,金箔,黄连,琥珀,大黄
红豆,盐,陈皮,丁香,缩砂
天南星,白附子,白芷,天麻,防风
石膏,川芎,全蝎,防风,甘草
天南星,白附子,白芷,天麻,防风
天南星,白附子,僵蚕,天麻,白芷
半夏,茯苓,甘草,陈皮,代赭石
贝母,白芷
贝母,半夏,百合,杏仁,蒲黄
桔梗,紫菀,木通,朴消,大黄
贝母,紫菀,款冬花
紫菀,五味子,杏仁,桂心,甘草
