白芍,紫菀,半夏,杏仁,桑白皮
天南星,乳香,代赭石,直僵蚕,真麝香
半夏,木香,大黄,黑牵牛,京三棱
天南星,羌活,脑子,全蝎,川芎
天竺黄,全蝎,白附,胆南星,蝉蜕
天南星,半夏,龙脑,金箔,天麻
半夏,芍药,前胡,甘草,麻黄
半夏,当归,熟地,茯苓,甘草
川甜消,干葛,大黄,甘草
贝母,当归,黄柏,半夏,蒲黄
天南星,半夏,白矾,皂角
橘络,当归,透骨草,僵蚕,片姜黄
半夏,白芍,夏枯草,天麻,秦艽
海粉,陈皮,竹沥,瓜蒌仁,连翘
天南星,当归,陈皮,羌活,川芎
天南星,木香,全蝎,羌活,远志
木香,贝母,花粉,半夏,杏仁
贝母,前胡,甘草,菊花,黄芩
木香,贝母,花粉,半夏,杏仁
巴豆,郁金
贝母,滑石,紫菀,白芍,桑白皮
海藻,党参,板蓝根,柴胡,谷精草
当归,贝母,白芍,地骨皮,薄荷
贝母,生地,远志,银花,柴胡
橘饼
木香,紫菀,半夏,款冬花,贝母
地黄,款冬花,半夏,贝母,紫菀
五味子,杏仁,紫菀,生草,白矾
杏仁,米壳,五味子,白矾,净金灯
地黄,款冬花,半夏,贝母,紫菀
生地,贝母,苏子,紫菀,甘草
陈皮,粳米
莱菔,半夏,连翘,川芎,茯苓
半夏,枳实,白术,陈皮
半夏,黄芩,黄连,茯苓,黑山栀
鱼腥草,紫菀,麻黄,甘草,金荞麦
天竺黄,钩藤,天麻,胆南星,薄荷
五味子,杏仁,米仁,麦门冬,知母
天南星,萝卜子,甘草,半夏,杏仁
杏仁,甘草,片芩,贝母,知母
半夏,杏仁,小枳实,石膏,麻黄
白芍,当归,干姜,半夏,杏仁
半夏,生姜,人参,广皮,草果
半夏,大黄,黄柏,黄芩,黄连
半夏,白芍,当归,甘草,黄芩
半夏,粉草,人参,茯苓,香附
半夏,三七,茯苓,白术,甘草
贝母,沙参,熟地,五味子,山药
紫菀,白前,旋复花,甘草,香附
半夏,干姜,甘草,五味子,白术
半夏,柴胡,竹茹,茯苓,枳实
半夏,枳实,钩藤,葛根,陈皮
佩兰,杏仁,当归,生耆,藿香
半夏,木香,北梗,五灵脂,白术
人参,远志,琥珀,茯苓,郁金
半夏,茯苓,厚朴,远志,紫苏
天南星,益智仁,半夏,枳实,神曲
半夏,木香,紫苏,茯苓,厚朴
杏仁,代赭石,当归,生姜,赤芍
半夏,夏枯草,当归,黄药子,海藻
半夏,白术,茯苓,枳实,前胡
款冬花,黄芩,杏仁,银花,桑叶
半夏,苦参,白僵蚕,当归,黄连
半夏,当归,竹茹,黄连,地黄
半夏,生姜,茅术,甘草,茯苓
薄荷,玄明粉,白粉,冰片,寒水石
胆南星,川连,小枳实,陈皮,蒌皮
干青果,陈皮,焦三仙,竹茹
炙桑白皮,三仙饮
焦三仙,陈皮
黑附子,僵蚕,胆南星,当归,苍术
贝母,连翘,海藻,地丁,柴胡
半夏,干姜,白芍,甘草,黄芩
木香,天南星,黄连,半夏,辰砂
当归,贝母,鳖甲,白芍,半夏
贝母,芍药,地黄,半夏,苍术
百部,白及,玉竹,葎草,黄精
倭硫,朱砂
藿香,半夏,半夏,甘草,用生姜
杏仁,薄荷,桂枝,桑白皮,茯苓
大黄,杏仁,葶苈,石膏,桑白皮
槐角子,枸杞,陈皮,侧柏叶
半夏,醋2500毫升
款冬花,川姜,白术,甘草,人参
款冬花,杏仁,麻黄,甘草
川朴,玄胡,陈皮,狗宝,灵脂
桂,半夏,桔梗,枳壳
生老姜,厚朴
天南星,木香,大黄,葶苈,半夏
木香,半夏,京三棱,大腹子,青皮
生犀角,川芎,生龙脑,麦门冬,细辛
生犀角,川芎,生龙脑,麦门冬,细辛
鸡苏叶,荆芥,甘草,龙脑,紫苏
天南星,半夏,白矾,草龙脑
半夏,白芍,龙骨,生姜,茯苓
杏仁,龙延香,石膏,花粉,紫苏
杏仁,回克,青黛,瓜蒌皮,花粉
杏仁,甘草,花粉,石膏,青黛
青礞石,万年干,石膏,硼砂
上广皮,桔梗,香附,甘草,枳壳
