粳米,高良姜,香子,鹿头肉,蔓荆子
粳米,冰糖,落花生
扁豆,干姜,百合,桔梗,五味子
粳米,嫩莲实
扁豆,芦荟,黄连,黄连,五谷虫
益智仁,生姜,木通,红曲,苍术
干姜,或加肉桂,当归,熟地,甘草
桔梗,神曲,山药,莲子肉,当归
白芍,神曲,炙草,枳壳,黄连
干姜,苏子,半夏,白术,茯苓
干姜,人参,白术,甘草
干姜,半夏,白术,人参,茯苓
干姜,人参,白术,甘草
神曲,五灵脂,干姜,莪术,山楂
仙灵脾,黄酒,肉桂,葱白,生姜
柿饼,栗子肉
白术,柴胡,三七,乌贼骨,白芨
黄蜡,荜澄茄,巴豆,干姜,肉豆蔻
黄蜡,荜澄茄,巴豆,干姜,肉豆蔻
诃子,寒水石,大黄,山柰,碱花
诃子,寒水石,大黄,山柰,碱花
白术,半夏,甘草,人参,陈皮
炙草,半夏,乌梅,白术,党参
白术,半夏,甘草,人参,陈皮
檀香,柴胡,苏叶,茯苓,羌活
半夏,麦门冬,白术,小麦,人参
白术,陈皮,白糖,神曲60克米粉,麦芽
山药,五味子,白术,人参,枣仁
白术,牡蛎,麻黄根,茯苓,黄耆
干姜,桂,白术,诃黎勒,肉豆蔻
白术,萆薢,太子参,甘草,茯苓
天麻,白术,干姜,肉桂,白芍
枇杷叶,白芷,芍药,白术,诃子
神曲,山楂,川芎,赤芍,当归
沉香,白术,神曲,槟榔,肉果
扁豆,白芍,车前,何首乌,谷芽
神曲,莪术,三棱,延胡索,青皮
粳米,鲜荠菜
白术,薏仁,甘草,黄芪,制附片
白术,白芍,黄芪,党参,当归
螵蛸,黄芪,白芍,鹿角胶,甘草
山药,芡实,白糖,糯米粉
山药,金樱子,枇杷叶,白术,党参
石膏,黄连,白术,黄芩,使君子
白术,黄芩,桔梗,桑白皮,贝母
白术,木贼,柴胡,菊花,苍术
扁豆,白芍,苏叶,白术,香薷
干姜,白术,黑附子,甘草,厚朴
山药,神曲,甘草,山楂,白术
山药,人参,甘草,莲肉,白术
3O克,丁香3O克,茯苓,五味子,当归
当归,山药,白术,木香,人参
茯神,乌药,白术,贝母,黄耆
草果子,肉豆蔻,蓬莪茂,茯苓,背皮
白术,良姜,缩砂,苍术,甘草
芍药,白术,枳实,陈皮
沉香,砂仁,木香,厚朴,枳壳
砂仁,大米
扁豆,枳壳,石斛,陈皮,赤芍等份
山药,石斛,牛膝,茱萸,白术
白术,柴胡,白芍,肉桂,半夏
白术,黑附子,甘草,木香,茯苓
黄柏,扁豆,紫河车,桑枝,白术
杜仲,山药,芍药,茱萸,白术
金樱子,芡实米
神曲,茯苓,赤小豆,小枳实,生于术
人参,肉桂,山药,肉豆蔻,白术
人参,肉桂,山药,肉豆蔻,白术
白术,益智仁,白面粉,白糖,鲜生姜
山药,枣仁,紫荆皮
砂糖,粳米,山楂
干姜,白术,肉桂,陈皮
白术,猪苓,泽泻,茯苓
半夏,山药,肉豆蔻,厚朴
白术,三棱,莪术,牛膝,党参
白术,甘草,党参,茯苓
白术,芍药,当归,川芎,黄柏
苍术,元参,薏仁,熟地,茯苓
龙骨,山药,杜仲,白术,党参
扁豆,黄耆,陈皮,厚朴,白术
白术,半夏,木香,香附,人参
苍术,茴香,乌头
白术,瞿麦,木通,猪苓,泽泻
独活,白术,川芎,当归,天麻
