天竺黄,朱砂,僵蚕,丹参,胆南星
杏仁,五味子,麦门冬,知母,百合
半夏,白芥子,白术,枳实,杏仁
杏仁,贝母,片芩,知母,桔梗
半夏,杏仁,栝楼,石膏,小枳实
半夏,杏仁,白芍,茯苓,桔梗
半夏,草果,生姜,广皮,人参
半夏,黄柏,黄芩,黄连,栀子
半夏,白术,柴胡,白芍,桔梗
半夏,益智,茯苓,粉草,陈皮
半夏,白术,枳实,桂枝,茯苓
贝母,党参,山药,麦冬,沙参
旋复花,紫菀,桔梗,陈皮,香附
白术,半夏,五味子,干姜,茯苓
柴胡,半夏,枳实,竹茹,桔梗
枳实,半夏,竹茹,葛根,生磁石
杏仁,远志,佩兰,生耆,白芍
半夏,白术,槟榔,茯苓,五灵脂
远志,茯苓,琥珀,郁金,菖蒲
远志,半夏,茯苓,厚朴,甘草
槟榔,半夏,枳实,天南星,茯苓
半夏,菖蒲,茯苓,白芷,厚朴
杏仁,藕节,刀豆子,玫瑰花,生瓦楞
白术,海藻,半夏,当归,党参
半夏,白术,桔梗,枳实,茯苓
杏仁,款冬花,黄芩,桔梗,知母
海藻,白术,半夏,昆布,苦参
半夏,黄连,茯苓,地黄,竹茹
半夏,生姜,茯苓,茅术,陈皮
薄荷,玄明粉,柿霜,冰片,白粉
川连,胆南星,苏叶子,陈皮,小枳实
竹茹,陈皮,焦三仙,干青果
炙桑白皮,三仙饮
焦三仙,陈皮
僵蚕,黑附子,白附子,天麻,苍术
海藻,贝母,连翘,柴胡,元参
半夏,白芍,黄芩,栀子,桂枝
半夏,枳实,黄连,黄芩,桔梗
半夏,柴胡,贝母,白术,白芍
半夏,贝母,芍药,枳实,白术
百部,玉竹,白及,葎草,穿心莲
倭硫,朱砂
藿香,半夏,半夏,桔梗,陈皮
杏仁,桂枝,苏叶,茯苓,陈皮
杏仁,百合,葶苈,大黄,石膏
陈皮,槐角子,枸杞,侧柏叶
半夏,醋2500毫升
白术,款冬花,钟乳粉,甘草,川姜
杏仁,款冬花,甘草,麻黄
灵脂,榔片,生芍,川朴,巴豆
半夏,桂,桔梗,枳壳
生老姜,厚朴
半夏,白术,枳实,天南星,葶苈
半夏,京三棱,青皮,大腹子,木香
生犀角,麦门冬,川芎,生龙脑,栀子
生犀角,麦门冬,川芎,生龙脑,栀子
鸡苏叶,桔梗,龙脑,瓜蒌根,紫苏
半夏,天南星,白矾,草龙脑
半夏,附片,白术,龙骨,白芍
杏仁,栀子,蛤壳,白芥子,牛蒡
杏仁,栀子,蛤壳,白芥子,花粉
杏仁,蛤壳,白芥子,牛蒡,花粉
万年干,石膏,青礞石,硼砂
桔梗,京元参,香附,上广皮,枳壳
橘叶,栝楼,连翘,川芎,甘草
杏仁,款冬花,桔梗,紫菀,五味子
粳米,新鲜萝卜约
新鲜白萝卜
贝母,莱菔,冰糖,白糖,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,肉桂,甘草,鹅管石
醋,绿茶
丹参,明矾
杏仁,桔梗,陈皮,茯苓,马兜铃
半夏,桔梗,黄芩,前胡,葛根
白术,半夏,干姜,苏子,茯苓
白术,半夏,干姜,茯苓,甘草
贝母,麦冬,鲜藕,鲜姜,萝卜
半夏,草乌,茴香,茯苓,细辛
莱菔,制野军,槟榔,果仁,藿香
贝母,黄连,薄荷,元参,大黄
川椒,半夏,杏仁,款冬花,胆南星
半夏,杏仁,茯苓,甘草,陈皮
白术,半夏,甘草,茯苓,陈皮
半夏,黄芩,杏仁,款冬花,苏子
半夏,菊花,荆芥,清炙草,茯神
杏仁,牛蒡,贝母,陈皮,石膏
半夏,杏仁,甘草,麻黄,豆腐1小块
诃子,白芥子,半夏,杏仁,莱菔
麦门冬,赤芍,陈皮,桔梗,茯苓
巴豆,杏仁,半夏,马兜铃
白萝卜,蜂蜜
天竺黄,赤芍,贝母,桔梗,枳壳
半夏,当归,桔梗,皂刺,茯苓
梅花脑,牙硝,甘草,寒水石,硼砂
梅花脑,甘草,硼砂,麝香,牙消
贝母,麦冬,莲子,玄参,枣仁
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,白术,黄连,栀子
枳实,半夏,黄芩,天南星,礞石
远志,黄芩,黄连,花粉,麦冬
黄连,半夏,黄芩,旋复花,竹茹
前胡,杏仁,半夏,黄芩,瓜蒌仁
地黄,半夏,杏仁,贝母,茯苓
百部,玄参,牛蒡,紫菀,白芥子
栀子,贝母,麦门冬,瓜蒌仁,黄芩
半夏,苍术,黄连,栀子,茯苓
半夏,苍术,白芍,黄连,栀子
贝母,木通,海石,陈皮,胆南星
半夏,草果,良姜,甘草,厚朴
杏仁,牛蒡,麻黄,石膏,葶苈
贝母,黄芩,知母,黄柏,苦参
芦根,天竺黄,贝母,杏仁,紫菀
白术,贝母,鱼腥草,杏仁,黄芩
昆布,海粉,白芍,牙皂,黄连
海藻,贝母,连翘,柴胡,栀子
半夏,白芥子,栀子,蝉衣,枳实
檀香,防风,细辛,石膏,薄荷
檀香,防风,二,细辛,薄荷
檀香,防风,细辛,石膏,薄荷
半夏,黄连,黄芩,苍术,瓜蒌仁
半夏,白芥子,沉香,白术,连翘
枳实,黄芩,半夏,杏仁,茯苓
半夏,白术,莱菔,枳实,海粉
枳实,半夏,瓜蒌仁,黄芩,杏仁
杏仁,贝母,贝母,前胡,地骨皮
半夏,五味子,石膏,射干,细辛
麦门冬,泽泻,贝母,地黄,半夏
半夏,海藻,黄连,昆布,白芥子
贝母,茯苓,郁金,沙参,丹参
炙穿山甲,蝉衣,僵蚕,全虫,夜明砂
地黄,贝母,麦门冬,知母,茯苓
五倍子,诃子,五味子,甘草
桔梗,百药煎,粉草,香附,紫河车
黄连,半夏,黄芩,天南星,甘草
黄连,半夏,黄芩,天南星,陈皮
半夏,干姜,天南星,川乌,天麻
半夏,干姜,天南星,川乌,天麻
天竺黄,党参,萆薢,沉香,寄生
黑附子,天南星,乌头,木香
天南星,白附子,辰砂,蛇含,麝香
蛇胆汁,陈皮
竹茹,桔梗,陈皮,苏子,甘草
文蛤,麝香,红芽大戟,山慈菇,续随子
远志,铁粉,茯苓,丹砂,羚羊角
半夏,前胡,桔梗,黄芩,杏仁
半夏,柴胡,白术,白芍,茯苓
远志,连翘,贝母,元参,辰砂
半夏,生姜,茯苓,陈皮,甘草
黄连,半夏,黄芩,贝母,杏仁
半夏,僵蚕,槐角子,辰砂,天麻
天南星,琥珀,朱砂
远志,白术,胆南星,白芍,琥珀
半夏,远志,芍药,茯苓,玫瑰花
昆布,海藻,螵蛸,木香,陈皮
半夏,肉豆蔻,厚朴,山药
黄连,半夏,陈皮,桃仁,吴萸
半夏,白术,草果,乌梅肉,生姜
半夏,茯苓,厚朴,紫苏
半夏,升麻,昆布,连翘,桔梗
檀香,僵蚕,苏合香,天麻,冰片
檀香,苏合香,僵蚕,沉香,藿香
杏仁,萝卜子,三棱,青皮,神僸
莱菔,山楂,白芥子
半夏,白附子,白僵蚕,金箔,天南星
远志,升麻,金箔,银箔,白僵蚕
半夏,生姜,干姜,丁香,诃子
枳实,海藻,贝母,当归,黄芩
半夏,桔梗,葛根,前胡,茯苓
天南星,蜈蚣,直僵蚕,猪牙皂角,麝香
半夏,麦芽,生姜,薤白,厚朴
杏仁,莱菔,牛蒡,贝母,枣仁
杏仁,麻黄,葶苈,黑牵牛,防己
苍术,海石,青黛,栝楼,胆南星
杏仁,连翘,莱菔,僵蛹,薄荷
贝母,没药,磁石,海藻,蓖麻子肉
白芥子,半夏,天南星,朴消,僵蚕
杏仁,贝母,白蜜,款冬花,蒲黄
文蛤,山茨菇,朱砂,雄黄,千金子
白术,半夏,甘草,天麻,茯苓
远志,百部,茯苓,麦门冬,桔梗
天南星
赤芍,白芷,鸡血藤,当归,川芎
桃仁,瓜瓣,苇茎,薏仁
半夏,茯苓,枳壳,甘草,陈皮
枳实,生姜,半夏,竹茹,陈皮
白术,半夏,干姜,陈皮
半夏,芍药,苍术,当归,十
半夏,芍药,苍术,川归,陈皮
韭汁,梨汁10毫升,牛乳60毫升,藕汁,生姜汁
半夏,白术,砂仁,陈皮2,甘草
白术,半夏,党参,茯苓,甘草
半夏,皮硝,小川连,生川军,栝楼
半夏,白术,柴胡,白芍,贝母
半夏,苍术,黄柏,滑石,天南星
杏仁,贝母,桔梗,玄参,灯心100厘米
丹皮,桃仁,淡竹沥60毫升,生地,青连翘
半夏,苍术,黄连,栀子,山植
蝉壳,陈皮,人参,厚朴,茯苓
半夏,桔梗,杏仁,前胡,茯苓
昆布,海藻,山茨菇,元参,白芥子
半夏,海藻,昆布,白芷,通草
海藻,柴胡,贝母,昆布,元参
昆布,海藻,炒山甲,牡蛎,夏枯草
昆布,螵蛸,海藻,海带,海红蛤
桔梗,海藻,海蛤,香附,海带
半夏,皂角,甘草,血竭,生山甲
贝母,元参,牡蛎
贝母,生黄耆,没药,牡蛎,血竭
皮硝,海石,杏仁,栝楼,连翘
半夏,白芍,柴胡,茯苓,白芥子
元参,海藻,红娘子,牡蛎,糯米
半夏,大黄,连翘,牡蛎,黄芩
半夏,茯苓,甘草
黑附子,半夏,菖蒲,陈皮,枣仁
半夏,杏仁,桔梗,茯苓,前胡
杏仁,桃仁,桑白皮,人参
杏仁,萝卜子
杏仁,远志,桔梗,百部,陈皮流浸膏
旋复花,僵蚕,石膏,防风
半夏,旋复花,生姜,枣仁,代赭石
半夏,丁香,缩砂仁,陈皮,白豆蔻
竹茹,柿蒂,陈皮,姜汁3茶匙
黄连,半夏,栝楼
半夏,麝,真珠,朱砂,胆南星
半夏,西河柳,贝母,天南星,大青叶
白芥子,滑石,贝母,僵蚕,白附子
天竺黄,滑石,僵蚕,砂仁,天南星
连翘,贝母,丹参,赤芍,黄连
杏仁,贝母,元参,槟榔,花粉
天竺黄,黄连,半夏,贝母,菖蒲
天竺黄,沉香,半夏,僵蚕,贝母
牵牛,陈皮,槟榔,甘草
半夏,天竺黄,黄芩,佩兰,栀子
半夏,莱菔,枳实,苍术,白术
半夏,莪术,天南星,芫花
不拘多少,香梗芋艿
贝母,百部,白及,羊胆干膏,甘草
地骨皮,贝母,茯苓,麦冬,百合
远志,竹茹,白芍,柏子仁,玉竹
天南星,防风
半夏,白矾,寒水石,三
杏仁,天门冬,葶苈,半夏,百合
半夏,白术,巴裁,沉香,苍术
半夏,白术,远志,白附子,黄芩
半夏,白附子,僵蚕,天南星,乌梢蛇
天竺黄,炒白牵牛子,黄连,琥珀,金箔
盐,缩砂,生姜,丁香,陈皮
天南星,白附子,草乌,白僵蚕,石膏
天南星,白附子,草乌,白僵蚕,石膏
白附子,僵蚕,草乌,天南星,石膏
白术,半夏,黄芪,茯苓,陈皮
贝母,白芷
