半夏,人参,甘草,茯苓,白术
半夏,杏仁,麻黄,苏子,黄芩
半夏,荆芥,茯神,钩藤钩,清炙草
贝母,麻黄,杏仁,牛蒡,甘草
麻黄,半夏,杏仁,甘草,豆腐1小块
半夏,莱菔,麻黄,苏子,杏仁
桔梗,甘草,陈皮,麦门冬,茯苓
半夏,巴豆,马兜铃,杏仁
蜂蜜,白萝卜
贝母,钩藤,赤芍,陈皮,胆南星
半夏,大力子,当归,桔梗,熟地
梅花脑,硼砂,甘草,寒水石,麝香
梅花脑,硼砂,甘草,寒水石,牙消
贝母,枣仁,麦冬,天冬,玄参
粳米,枇杷叶,冰糖
粳米,枇杷叶,冰糖
半夏,砂仁,麦芽,香附,莱菔
天南星,半夏,礞石,黄芩,法制消
麦冬,菖蒲,黄芩,茯神,远志
半夏,竹茹,旋复花,枳壳,黄连
贝母,半夏,杏仁,黄芩,瓜蒌仁
贝母,地黄,紫菀,防己,半夏
紫菀,白芥子,百部,牛蒡,东白薇
贝母,黄芩,桑白皮,桔梗,甘草
半夏,神曲,苍术,黄连,香附
半夏,苍术,神曲,黄连,香附
贝母,陈皮,胆南星,木通,海石
半夏,良姜,草果,厚朴,甘草
杏仁,麻黄,地龙,葶苈,牛蒡
贝母,黄柏,黄芩,大黄,桔梗
贝母,紫菀,杏仁,元参,黄芩
贝母,黄芩,杏仁,甘草,桑白皮
牙皂,昆布,当归,甘草,海粉
贝母,当归,海藻,柴胡,连翘
半夏,白芥子,桔梗,苏子,蝉衣
檀香,甘草,荆芥,人参,薄荷
檀香,四,荆芥,甘草,薄荷
檀香,甘草,荆芥,人参,薄荷
半夏,香附,苍术,黄连,黄芩
天南星,贝母,半夏,礞石,黄连
天南星,瓜蒌仁霜,半夏,黄芩,杏仁
莱菔,苏子,麦芽,天南星,半夏
天南星,半夏,黄芩,杏仁,陈皮
贝母,贝母,天冬,紫菀,杏仁
半夏,麻黄,五味子,甘草,细辛
枣仁,泽泻,贝母,半夏,五味子
半夏,莪术,黄连,昆布,白芥子
贝母,沙参,丹参,杵头糠,砂仁壳
夜明砂,全虫,炙穿山甲,蝉衣,蜈蚣
贝母,地黄,桔梗,甘草,茯苓
五味子,甘草,五倍子,诃子
粉草,桔梗,香附,紫河车,百药煎
天南星,半夏,黄连,甘草,黄芩
天南星,半夏,黄连,白矾,黄芩
天南星,半夏,天麻,川乌,川芎
天南星,半夏,天麻,川乌,川芎
天竺黄,党参,30克,30克,30克
天南星,木香,黑附子,乌头
天南星,麝香,白附子,辰砂,蛇含
蛇胆汁,陈皮
